source_string,target_string,latin,arabic_script,english
"ⵖⴰⵔ-ⵉ ⵜⵃⵉⵎⵔⵜ ⵏ ⵍⵎⴰⵍ, ⵓⵔ ⵙⵙⵉⵏⵖ ⵍⵃⵙⴰⴱ ⵏⵏⵙ, ⵎⵉⵍⵍⵉ ⵢⴰⴷ ⵉⵕⴰⵃ ⵛⵕⴰ ⴼⵇⴷⵖ ⵜ  -ⵓⵙⵜⵓ ⵏ ⵓⵥⵟⵟⴰ",لدي قطيع من الأغنام أجهل عدده، إذا نقص شيء منه أحسست به!– سداة النسيج.,"ghar-i tḥimrt n lmal, ur ssingh lḥsab nns, milli yad iṛaḥ shṛa fqdgh t  -ustu n uẓṭṭa","غار-ي تحيمرت ن لمال, ور سسينغ لحساب ننس, ميللي ياد يراح شرا فقدغ ت  -وستو ن وزّططا","""I have a flock of sheep whose number I do not know; if something is missing from it, I feel it!"" – The warp of the fabric."
"ⵖⴰⵔ-ⵉ ⵢⴰⴽⵉⴹⴰⵕ, ⵉⵜⵜⵡⴰⵇⵇⵏ ⴷⵉ ⵜⴰⴷⴷⴰⵔⵜ ⵏ ⵢⵉⵅⵙⴰⵏ  -ⵉⵍⵙ",لدي حصان رُبط في منزل العظام!– اللسان.,"ghar-i yakiḍaṛ, ittwaqqn di taddart n yikhsan  -ils","غار-ي ياكيضار, يتتواققن دي تاددارت ن ييخسان  -يلس","""I have a horse tied in the house of bones! – The tongue."""
ⵖⴰⵔ-ⵉ ⵢⴰⵍⵎⵓ ⵡⵔ ⵜ ⵉⵙⵙⵖⵎⵢ ⵓⵛⴰⵍ  -ⴰⵛⴱⴱⵓⴱ / ⴰⵛⴽⴽⵓⴽ / ⴰⵣⵔⵖⵓⴼ,لدي عشب لم ينبته تراب!– الشعر.,ghar-i yalmu wr t issghmy ushal  -ashbbub / ashkkuk / azrghuf,غار-ي يالمو ور ت يسسغمي وشال  -اشببوب / اشككوك / ازرغوف,"""I have grass that no soil has sprouted! – Poetry."""
"ⵖⴰⵔ-ⵉ ⵢⴰⵎⵅⴰⵣⵏⵉ, ⵢⵉⵕⵟ ⵙⵏ ⵉⵀⴷⴷⵓⵏⵏ  -ⵍⵇⴰⵍⴱ ⵏ ⵙⵙⴽⴽⵯⴰⵔ",لدي مخزني من القوات المساعدة يرتدي برنسين!– قالب السكر.,"ghar-i yamkhazni, yiṛṭ sn ihddunn  -lqalb n sskkⵯar","غار-ي يامخازني, ييرط سن يهددونن  -لقالب ن سسككⵯار","""I have my auxiliary forces' warehouse wearing two cloaks! – The sugar loaf."""
"ⵖⴰⵔ-ⵉ ⵢⴰⵇⵟⵉⵄ ⵏ ⵢⵉⵣⵎⴰⵔⵏ ⵅ ⵟⵟⵔⴼ ⵏ ⵓⵊⴷⵉⵔ, ⵓⵔ ⴳⴳⵯⵉⴷⵏ ⴰⴷ ⵓⵟⴰⵏ  -ⵜⵉⵖⵎⴰⵙ",لدي قطيع من الخرفان بجوار الجرف لا يخافون السقوط!– الأسنان.,"ghar-i yaqṭi3 n yizmarn kh ṭṭrf n ujdir, ur ggⵯidn ad uṭan  -tighmas","غار-ي ياقطيع ن ييزمارن خ ططرف ن وجدير, ور ڭڭⵯيدن اد وطان  -تيغماس","""I have a flock of sheep by the cliff; they are not afraid of falling! – The teeth."""
"ⵖⴰⵔ-ⵉ ⵢⴷⵊ  ⵏ ⵓⵕⵃⴱⵉ ⵉⵜⵜⵛⵓⵕ ⵙ ⵍⵄⵙⴽⵕ, ⵍⵇⴱⵟⴰⵏ ⵏⵏⵙⵏ ⴷⴳ ⵡⴰⵎⵎⴰⵙ  -ⴰⵊⵏⵏⴰ ⴷ ⵢⵉⵜⵔⴰⵏ ⴷ ⵓⵢⵓⵔ",لدي ساحة مليئة بالجنود قبطانهم في الوسط!– السماء والنجوم والقمر.,"ghar-i ydj  n uṛḥbi ittshuṛ s l3skṛ, lqbṭan nnsn dg wammas  -ajnna d yitran d uyur","غار-ي يدج  ن ورحبي يتتشور س لعسكر, لقبطان ننسن دڭ وامماس  -اجننا د ييتران د ويور","""I have a field full of soldiers, their captain is in the middle! – The sky, the stars, and the moon."""
"ⵖⴰⵔ-ⵉ ⵢⴷⵊ ⵏ ⵢⵉⴼⵔⵉ, ⵉⵜⵜⵛⵓⵕ ⵙ ⵢⵉⵣⵎⴰⵔⵏ  -ⵉⵎⵉ ⴷ ⵜⵖⵎⴰⵙ",لدي كهف مليء بالخرفان!– الفم والأسنان.,"ghar-i ydj n yifri, ittshuṛ s yizmarn  -imi d tghmas","غار-ي يدج ن ييفري, يتتشور س ييزمارن  -يمي د تغماس","""I have a cave full of sheep! – The mouth and teeth."""
"ⵖⴰⵔ-ⵉ ⵢⴷⵊ ⵏ ⵢⵉⵙⵎⵖ, ⵉⴳⴳⵓⵔ ⵉⵜⴻⵜⵜ ⵣⴳ ⵓⵄⵔⵓⵔ ⵏⵏⵙ  -ⴰⵍⵖⵎ",لدي عبد يمشي ويأكل من ظهره!– الجمل.,"ghar-i ydj n yismgh, iggur itett zg u3rur nns  -alghm","غار-ي يدج ن ييسمغ, يڭڭور يت°تت زڭ وعرور ننس  -الغم","""I have a servant who walks and carries its provision on its back! – The camel."""
"ⵖⴰⵔ-ⵉ ⵢⵉⴷⵊ ⵏ ⵢⵉⵙⵎⵖ, ⵉⵜⴻⵜⵜ ⴰⴷⴰⵏ ⵏⵏⵙ, ⵉⵙⴻⵙⵙ ⵉⴷⴰⵎⵎⵏ ⵏⵏⵙ  -ⵍⵍⴰⵎⴱⴰ",لدي عبد يأكل أمعاءه ويشرب دمه!– اللمبة.,"ghar-i yidj n yismgh, itett adan nns, isess idammn nns  -llamba","غار-ي ييدج ن ييسمغ, يت°تت ادان ننس, يس°سس يداممن ننس  -للامبا","""I have a servant that eats its intestines and drinks its blood! – The lamp."""
"ⵖⴰⵔ-ⵉ ⵢⵉⵛⵜ ⵏ ⵜⵍⵖⵎⵜ, ⵖⵉⵔ ⴰⴷ ⵜⵜ ⵚⴹⴹⵄⵖ ⵜⵇⵍⵍⵄ  -ⵜⴰⵙⵉⵔⵜ",لدي ناقة عندما أزعجها تقلع!– المطحنة / الرحى.,"ghar-i yisht n tlghmt, ghir ad tt ṣḍḍ3gh tqll3  -tasirt","غار-ي ييشت ن تلغمت, غير اد تت صضضعغ تقللع  -تاسيرت","""I have a she-camel; when I annoy her, she takes off! – The millstone/grindstone."""
"ⵖⴰⵔ-ⵉ ⵢⵉⵛⵜ ⵏ ⵜⵢⴷⴷⵉⴷⵜ, ⴰⵏⵉ ⵜⵓⴼⴰ ⵜⵓⵕⵡ  -ⵜⴰⵙⴽⴽⵓⵔⵜ",لدي قربة صغيرة تنجب أينما وجدت!– الحجلة.,"ghar-i yisht n tyddidt, ani tufa tuṛw  -taskkurt","غار-ي ييشت ن تيدديدت, اني توفا تورو  -تاسككورت","""I have a small pouch that gives birth wherever it is found! – The partridge."""
"ⵖⴰⵔ-ⵉ ⵢⵉⵛⵜ ⵏ ⵜⵥⵉⵡⴰ, ⵜⵜⴻⵜⵜ ⵣⵣⴰⴳ-ⵙ ⴷⴷⵓⵏⵛⵜ ⵓⵔ ⵜⵇⵟⵟⵉ  -ⵜⵉⵙⵉⵜ",لدي طست تأكل منه الدنيا ولا ينتهي!– المرآة.,"ghar-i yisht n tẓiwa, ttett zzag-s ddunsht ur tqṭṭi  -tisit","غار-ي ييشت ن تزّيوا, تت°تت ززاڭ-س ددونشت ور تقططي  -تيسيت","""I have a basin from which the world eats, yet it never empties! – The mirror."""
"ⵖⴰⵔ-ⵉ ⵢⵄⴷⴰⵡⵏ, ⵎⴰ ⵡⵟⴰⵏ ⴷ ⵅⴰⴼ-ⵉ ⴰⴷ ⵎⵎⵜⵖ  -ⵉⵟⵍⵄⵉⵢⵏ",لدي أعداء إذا سقطوا علي سأموت!– العوارض.,"ghar-i y3dawn, ma wṭan d khaf-i ad mmtgh  -iṭl3iyn","غار-ي يعداون, ما وطان د خاف-ي اد ممتغ  -يطلعيين","""I have enemies; if they fall on me, I will die! – The beams."""
"ⵖⴰⵔ-ⵉ ⵢⵄⴷⴰⵡⵏ, ⵎⴰ ⵡⵟⴰⵏ ⴷ ⵅⴰⴼ-ⵉ ⴰⴷ ⵎⵎⵜⵖ  -ⵜⵉⴳⵉⴷⴰ",لدي أعداء إذا سقطوا علي سأموت!– السواري.,"ghar-i y3dawn, ma wṭan d khaf-i ad mmtgh  -tigida","غار-ي يعداون, ما وطان د خاف-ي اد ممتغ  -تيڭيدا",Translation Error
"ⵖⴰⵔ-ⵉ ⵄⵛⵔⵉⵏ ⵏ ⵢⵉⵖⵢⴰⵍ, ⴽⵓⵍ ⵡⵏⵏ ⵙ ⵜⴱⴰⵔⴷⴰ ⵏⵏⵙ  -ⵉⵟⵓⴹⴰⵏ ⴷ ⵜⴼⴷⵏⵉⵏ ⴷ ⵉⴱⵓⵛⵛⴰⵔ",لدي عشرون حمارا كل واحد ببردعته!– أصابع اليد وأصابع القدم والأظافر.,"ghar-i 3shrin n yighyal, kul wnn s tbarda nns  -iṭuḍan d tfdnin d ibushshar","غار-ي عشرين ن ييغيال, كول ونن س تباردا ننس  -يطوضان د تفدنين د يبوششار","""I have twenty donkeys, each with its saddle! – The fingers of the hands, the toes, and the nails."""
"ⵖⴰⵔ-ⵙ ⴰⵣⵍⵍⵉⴼ ⵓⵔ ⵖⴰⵔ-ⵙ ⴰⵍⵍⵉ, ⵖⴰⵔ-ⵙ ⴰⵙⵔⵓⴼ ⵓⵔ ⵖⴰⵔ-ⵙ ⴰⵄⴷⴷⵉⵙ -ⴰⵀⴷⴷⵓⵏ",له رأس وليس له دماغ، وله ظهر وليس له بطن!– البرنس.,"ghar-s azllif ur ghar-s alli, ghar-s asruf ur ghar-s a3ddis -ahddun","غار-س ازلليف ور غار-س اللي, غار-س اسروف ور غار-س اعدديس -اهددون","It has a head but no brain, and it has a back but no stomach! – The hanger."
"ⵖⴰⵔ-ⵙ ⵔⴱⵄⴰ ⵢⵟⴰⵕⵏ, ⵉⵜⵜⴳⴳ ⵜⵉⵛⵍⵉ ⵏ ⵢⵉⴷⵊ ⵓⵟⴰⵕ  -ⴰⵢⵕⵥⵉⵥ",لديه أربعة أرجل ويمشي مشية رجل واحدة!– الأرنب البري.,"ghar-s rb3a yṭaṛn, ittgg tishli n yidj uṭaṛ  -ayṛẓiẓ","غار-س ربعا يطارن, يتتڭڭ تيشلي ن ييدج وطار  -ايرزّيزّ",It has four legs and walks like a single man! – The hare.
ⵖⵉⵔ ⴰⴷ ⵢⴰⵕⵡ ⵜⵜⵛⵏ ⵜ ⵡⴰⵕⴰ ⵏⵏⵙ  -ⴰⵡⵍⴻⵍⵍⵉ,عندما يُنجب يأكله أبناؤه!– العنكبوت.,ghir ad yaṛw ttshn t waṛa nns  -awlelli,غير اد يارو تتشن ت وارا ننس  -اول°للي,"""When it gives birth, its offspring devour it! – The spider."""
"ⵖⵔ ⵊⴰⵊ ⴷ ⵍⵉⴷⴰⵎ, ⵖⵔ ⴱⵕⵕⴰ ⴷ ⴷⴷⵊⴷⴰⵎ  -ⴰⵀⵏⴷⵉ",داخلها دهن وخارجها جذام!– التين الشوكي.,"ghr jaj d lidam, ghr bṛṛa d ddjdam  -ahndi","غر جاج د ليدام, غر بررا د ددجدام  -اهندي","""Inside it is pulp, and outside it is thorns! – The prickly pear."""
"ⵀⴰ ⵜ, ⵀⴰ ⵜ, ⵓⵔ ⵜ ⵏⵉⵏⵏⵢ  -ⴰⵟⵓ",ها هو، ها هو ولم نره!– الريح.,"ha t, ha t, ur t ninny  -aṭu","ها ت, ها ت, ور ت نينني  -اطو","Here it is, here it is, yet we do not see it! – The wind."
"ⵀⴰⵢ ⵀⴰⵢ, ⵜⵓⴷⵔ ⴷ ⵉ ⵢⵉⵍⴼⴰⵏ  -ⵜⵉⵛⵛⵉⵏ","""هاي هاي"" تمطر بالخنازير!– القمل.","hay hay, tudr d i yilfan  -tishshin","هاي هاي, تودر د ي ييلفان  -تيششين","""Hey hey"" it's raining pigs! – The lice."
"ⵃⵏⵏⵟⵏ ⴰⵏⵖ ⴱⵏⵏⵟⵏ ⴰⵏⵖ, ⵎⵉⵍⵍⵉ ⴷ ⵉⵄⴷⴰⵡⵏ ⵏⵖⵏ ⴰⵏⵖ  -ⵍⵃⵢⵓⵟ",طوقونا ولفونا، لو كانوا أعداء لقتلونا!– الجدران.,"ḥnnṭn angh bnnṭn angh, milli d i3dawn nghn angh  -lḥyuṭ","حننطن انغ بننطن انغ, ميللي د يعداون نغن انغ  -لحيوط",Translation Error
"ⵃⵜⵉⵜⵜⵉ ⴱⵜⵉⵜⵜⵉ, ⵜⵙⵙⵟⴼⴰⵕ ⴰⴷⴰⵏ ⵣⴷⴼⴼⵔ-ⵙ  -ⵜⵉⵙⵙⵢⵏⵛⵜ / ⵜⴰⵅⵉⵢⵢⴰⵟⵜ",حتيتي بتيتي (شيء صغير) تُتبع الأمعاء وراءها!– الإبرة.,"ḥtitti btitti, tssṭfaṛ adan zdffr-s  -tissynsht / takhiyyaṭt","حتيتتي بتيتتي, تسسطفار ادان زدففر-س  -تيسسينشت / تاخييياطت","""My little one, my tiny one (something small) is followed by the thread behind it! – The needle."""
"ⵃⵜⵉⵜⵜⵉ  ⴱⵜⵉⵜⵜⵉ, ⵜⵓⵕⵡ ⴰⵣⴷⵓⵣ  -ⴰⵍⴼⵜⵉ",حتيتي بتيتي (شيء صغير) أثمرت مدقا!– اللفت.,"ḥtitti  btitti, tuṛw azduz  -alfti","حتيتتي  بتيتتي, تورو ازدوز  -الفتي","""My tiny little plant (a small thing) has produced a big root! – The turnip."""
"ⵉⴷⵊⴰ ⵎⴰⵔ, ⵜⵉⵥⵉⵍⵍⴰ ⵙⴰⵔ  -ⵉⵖⵉⴷ",ترك اللحية ولا يصلي!– الجدي.,"idja mar, tiẓilla sar  -ighid","يدجا مار, تيزّيللا سار  -يغيد","""He grew a beard but does not pray! – Seriously."""
ⵉⴷⵊ ⵉⵜⵜⴰⵣⵣⵍ ⵅ ⵅⵎⵙⴰ  -ⵉⵏⵉⵔⵣ ⴷ ⵉⵟⵓⴹⴰⵏ,واحد يجري على خمسة!– العقب والأصابع.,idj ittazzl kh khmsa  -inirz d iṭuḍan,يدج يتتاززل خ خمسا  -ينيرز د يطوضان,"""One runs on five! – The heel and the toes."""
"ⵉⴷⵊ ⵉⵜⵜⴽⴽⵔ ⵉⵜⵜⵓⵟⴰ ⴰⵍ ⵉⴱⴷⴷ, ⵉⵜⵜⴽⴽⵔ ⵉⵜⵜⵓⵟⴰ ⴰⵍ ⵉⵎⵎⵜ  -ⴱⵏⴰⴷⵎ",ينهض ويسقط حتى يقف، ينهض ويسقط حتى يموت!– الإنسان.,"idj ittkkr ittuṭa al ibdd, ittkkr ittuṭa al immt  -bnadm","يدج يتتككر يتتوطا ال يبدد, يتتككر يتتوطا ال يممت  -بنادم","He rises and falls until he stands, he rises and falls until he dies! – The human being."
"ⵉⴷⵊ ⵉⵜⵜⵛⴰⵜ ⵍⴱⴰⵕⵓⴷ, ⵉⴷⵊ ⵉⵜⵜⴳⴳ ⵜⵉⵎⵙⵙⵉ, ⵏⵔⴳⴳⵯⵍ ⵣⵣⴰⴳ-ⵙⵏ ⵓⵔ ⵜⵏ ⵏⵉⵏⵏⵢ  -ⴰⴷⵊⴰⵊⵏ ⴷ ⵡⴰⵙⵙⴰⵎⵏ",واحد يطلق البارود والآخر يشعل النار نهرب منهما ولم نراهما!– الرعد والبرق.,"idj ittshat lbaṛud, idj ittgg timssi, nrggⵯl zzag-sn ur tn ninny  -adjajn d wassamn","يدج يتتشات لبارود, يدج يتتڭڭ تيمسسي, نرڭڭⵯل ززاڭ-سن ور تن نينني  -ادجاجن د واسسامن","""One fires the gunpowder, and the other ignites the fire; we flee from them, yet we do not see them! – Thunder and lightning."""
ⵉⴷⵊ ⵏ ⵓⵊⵔⵜⵉⵍ ⵍⴱⴷⴰ ⴷⴳ ⵡⴰⵎⴰⵏ ⵓⵔ ⵉⵜⵜⵓⴼ  -ⵉⵍⵙ,حصيرة دائما في الماء لكنها لا تغرق!– اللسان.,idj n ujrtil lbda dg waman ur ittuf  -ils,يدج ن وجرتيل لبدا دڭ وامان ور يتتوف  -يلس,"""A mat is always in water but does not sink! – The tongue."""
"ⵉⴷⵊ ⵏ ⵓⵟⵍⵄⵉ, ⴽⵙⵙⵉⵏ ⵜ ⵙⵏ ⵏ ⵢⵉⵔⴳⴰⵣⵏ  -ⴳⵉⵔⵔⵓ ⴷ ⵙⵏ ⵉⵟⵓⴹⴰⵏ",عارضة يحملها رجلان!– السيجارة والأصبعين.,"idj n uṭl3i, kssin t sn n yirgazn  -girru d sn iṭuḍan","يدج ن وطلعي, كسسين ت سن ن ييرڭازن  -ڭيررو د سن يطوضان",A platform carried by two men! – The cigarette and the two fingers.
ⵉⴷⵊ ⵏ ⵓⵔⴳⴰⵣ ⵉⴽⴽⴰⵍ ⵉⴱⴷⴷ ⵅ ⵢⵉⴷⵊ  ⵓⵟⴰⵕ  -ⵜⴰⵡⵡⵓⵔⵜ,رجل يمضي يومه واقفا على رجل واحدة!– الباب.,idj n urgaz ikkal ibdd kh yidj  uṭaṛ  -tawwurt,يدج ن ورڭاز يككال يبدد خ ييدج  وطار  -تاووورت,A man spends his day standing on one leg! – The door.
ⵉⴼⵔⵉ ⵣⵏⵏⴳ-ⵙ ⵢⵉⴼⵔⴰⵏ ⵣⵏⵏⴳ-ⴰⵙⵏ ⵜⵉⵣⴳⵉ  -ⵉⵎⵉ ⴷ ⵢⵉⵏⵣⵔ ⴷ ⵜⵉⵟⵟⴰⵡ ⴷ ⵓⵛⴽⴽⵓⴽ,كهف فوقه كهوف وفوقهم غابة!– الفم والأنف والعينان والشعر.,ifri znng-s yifran znng-asn tizgi  -imi d yinzr d tiṭṭaw d ushkkuk,يفري زننڭ-س ييفران زننڭ-اسن تيزڭي  -يمي د يينزر د تيططاو د وشككوك,"A cave above it are caves, and above them is a forest! – The mouth, the nose, the eyes, and the hair."
"ⵉⴳⴳⵓⵔ ⴱⵍⴰ ⵢⵟⴰⵕⵏ, ⵉⵏⵇⵇ ⴱⵍⴰ ⵢⴼⴰⵙⵙⵏ  -ⴰⵍⴼⵙⴰ",يمشي بلا أرجل ويقتل بلا أيد!– الأفعوان.,"iggur bla yṭaṛn, inqq bla yfassn  -alfsa","يڭڭور بلا يطارن, ينقق بلا يفاسسن  -الفسا",Translation Error
ⵉⴳⴳⵓⵔ ⵓⵔ ⵜ ⵏⵜⵟⵟⴼ  -ⴷⴷⵅⵅⴰⵏ,يتمشى ولا نمسكه!– الدخان.,iggur ur t ntṭṭf  -ddkhkhan,يڭڭور ور ت نتططف  -ددخخان,"""He drifts, and we can't catch him! – The smoke."""
"ⵉⴳⵄⵄⴷ ⴰⴷ ⵉⵡⴷⴷⵏ, ⵉⵙⵙⵎⵓⵏⵙⵓ ⵎⵉⴷⴷⵏ  -ⵢⴰⵥⵉⵟ",صعد كي يؤذن فعشى الناس!– الديك.,"ig33d ad iwddn, issmunsu middn  -yaẓiṭ","يڭععد اد يوددن, يسسمونسو ميددن  -يازّيط","He climbed to call the prayer, but he confused the people! – The rooster."
"ⵉⵖⵎⵢ ⵉⵇⵇⵓⵔ, ⵉⵜⵜⵡⴰⵎⵊⵔ ⵉⵇⵇⵓⵔ, ⵉⵜⵜⵡⴰⵥⵟ ⵉⵇⵇⵓⵔ  -ⵜⴰⴹⵓⴼⵜ",نبت يابسا وحُصد يابسا ونُسج يابسا!– الصوف.,"ighmy iqqur, ittwamjr iqqur, ittwaẓṭ iqqur  -taḍuft","يغمي يققور, يتتوامجر يققور, يتتوازّط يققور  -تاضوفت","""A dry plant was grown, harvested dry, and woven dry! – Wool."""
ⵉⵖⵔⴰ ⵜⵃⵕⴰⵢⵎⵉⵛⵜ ⴷⵉ ⵜⵄⴷⴷⵉⵙⵜ ⵏ ⵢⵎⵎⴰ-ⵙ  -ⵓⵛⵛⵏ,درس الخداع في بطن أمه!– الذئب.,ighra tḥṛaymisht di t3ddist n ymma-s  -ushshn,يغرا تحرايميشت دي تعدديست ن يمما-س  -وششن,"""Deception was learned in its mother's womb! – The wolf."""
"ⵉⵃⵏⵓⵏⵏⵟ ⵉⴱⵏⵓⵏⵏⵟ, ⵉⵕⴰⵃ ⵖⵔ ⵛⵛⵖⵍ ⵏⵏⵙ  -ⵉⵏⵙⵉ",التف وانتفخ وذهب إلى عمله!– القنفذ.,"iḥnunnṭ ibnunnṭ, iṛaḥ ghr shshghl nns  -insi","يحنوننط يبنوننط, يراح غر ششغل ننس  -ينسي","""He curled up, puffed himself up, and went to his work! – The hedgehog."""
"ⵉⵃⵡⵡⵟ, ⵓⵔ ⵉⵥⵥⵓ  -ⵙⵙⵇⴼ",حوط (أدار عليه التراب) ولم يغرس!– السقف التقليدي.,"iḥwwṭ, ur iẓẓu  -ssqf","يحووط, ور يزّزّو  -سسقف","""Surrounded (covered with soil) but not planted! – The traditional roof."""
"ⵉⵊⵔ ⵏⵏⵖ ⵉⵜⵜⵙⵙⵡⴰ ⵜ ⵓⵊⵏⵏⴰ, ⵖⴰⵔ-ⵙ ⵉⴱⵓⴷⴰ ⵖⵔ ⵡⴰⴷⴷⴰ  -ⵙⵙⵇⴼ",حقلنا تسقيه السماء ولديه حدود في الأسفل!– السقف.,"ijr nngh ittsswa t ujnna, ghar-s ibuda ghr wadda  -ssqf","يجر ننغ يتتسسوا ت وجننا, غار-س يبودا غر واددا  -سسقف","""Our field is watered by the sky and has boundaries below! – The ceiling."""
"ⵉⴽⵙⵙⵉ ⵢⵉⵇⵏⵟⴰⵕⵏ, ⵓⵔ ⵉⴽⵙⵙⵉ ⵢⴰⵎⵙⵎⵉⵔ  -ⵍⴱⵃⵕ",يحمل القناطير ولا يحمل مسمارا!– البحر.,"ikssi yiqnṭaṛn, ur ikssi yamsmir  -lbḥṛ","يكسسي ييقنطارن, ور يكسسي يامسمير  -لبحر",It carries massive loads but cannot carry a nail! – The sea.
"ⵉⵍⵍⴰ ⵢⴷⵊ  ⵜⵜⴳⵡⵡⴰⴷⵏ ⵜ ⵙⵏⴰⵜ, ⵙⵏⴰⵜ ⵜⵜⴰⵡⵢⵏ ⴰⵙ ⴷ ⵍⵅⴱⴰⵕ  -ⴱⵏⴰⴷⵎ, ⵜⵉⵟⵟⴰⵡ, ⵜⵎⵊⵊⵉⵏ",يقوده اثنان وآخران يأتيان له بالأخبار!– الإنسان وعيناه وأذناه.,"illa ydj  ttgwwadn t snat, snat ttawyn as d lkhbaṛ  -bnadm, tiṭṭaw, tmjjin","يللا يدج  تتڭووادن ت سنات, سنات تتاوين اس د لخبار  -بنادم, تيططاو, تمججين","He is led by two, and two others bring him news! – The human, his eyes, and his ears."
ⵉⵍⵓⵍ ⴷ ⵖⴰⵔ-ⵙ ⵜⴰⴳⵍⵣⵉⵎⵜ  -ⴼⵓⵍⵍⵓⵙ,ولد بفأس صغير!– الكتكوت.,ilul d ghar-s taglzimt  -fullus,يلول د غار-س تاڭلزيمت  -فوللوس,"""Born with a small axe! – The chick."""
"ⵉⵎⵎⵓⵜ ⵓⵍⵖⵎ ⴷⴳ ⵓⴷⵔⴰⵔ, ⵉⵡⵡⵟ ⴰⵏⵖ ⴷ ⵛⵛⵓⵎ ⵏⵏⵙ  -ⴰⴷⴼⵍ",مات الجمل في الجبل ووصل إلينا نسيمه!– الثلج.,"immut ulghm dg udrar, iwwṭ angh d shshum nns  -adfl","يمموت ولغم دڭ ودرار, يووط انغ د ششوم ننس  -ادفل","""The camel died on the mountain, and its breeze reached us! – The snow."""
"ⵉⵎⵛ ⵉⵕⴰⵃ ⴰⴷ ⵉⵎⵊⵔ, ⵉⵕⵡⵡⵃ ⴷ ⵢⵉⵎⵉ ⵏⵏⵙ ⴷ ⴰⵣⵉⵣⴰ  -ⴰⵎⵊⵔ",كلما ذهب للحصاد يمسي بفم أخضر!– المنجل.,"imsh iṛaḥ ad imjr, iṛwwḥ d yimi nns d aziza  -amjr","يمش يراح اد يمجر, يرووح د ييمي ننس د ازيزا  -امجر","""Every time it goes to harvest, it ends up with a green mouth! – The sickle."""
ⵉⵎⵛ ⵉⵕⵥⵎ ⵉⵎⵉ ⵏⵏⵙ ⵉⵜⵜⴰⵊⵔ ⵜⵉⵔⵡⵜ ⵏ ⵔⵔⵉⵎⵜ ⵏⵏⵙ  -ⵃⵉⵡⵛ,عندما يفتح فمه يصبح أوسع من جسده!– الأفعوان.,imsh iṛẓm imi nns ittajr tirwt n rrimt nns  -ḥiwsh,يمش يرزّم يمي ننس يتتاجر تيروت ن رريمت ننس  -حيوش,"When it opens its mouth, it becomes wider than its body! – The snake."
ⵉⵎⵛ ⵜⵜⵇⵇⵙ ⵜⵜⵎⵜⵜⴰ  -ⵜⵣⵉⵣⵡⵉ,عندما تلسع تموت!– النحلة.,imsh ttqqs ttmtta  -tzizwi,يمش تتققس تتمتتا  -تزيزوي,"""When it stings, it dies! – The bee."""
"ⵉⵎⵛ ⵜⵙⵔⵃ ⵜⵔⵔⴰⵏ ⵙ ⵡⵓⴷⵎ ⵖⵔ ⵍⵄⵎⴰⵕⵜ, ⵉⵎⵛ ⵜⵕⵡⵡⵃ ⵜⵔⵔⴰⵏ ⵙ ⵡⵓⴷⵎ ⵖⵔ ⵍⵅⵍⴰ  -ⴰⵛⵛⴰⵡⵏ ⵏ ⵜⵖⵟ",عندما ترعى يولون وجههم نحو المكان الآهل بالسكان، وعندما تمسي يولون وجههم نحو الخلاء! – قرنا الماعز.,"imsh tsrḥ trran s wudm ghr l3maṛt, imsh tṛwwḥ trran s wudm ghr lkhla  -ashshawn n tghṭ","يمش تسرح ترران س وودم غر لعمارت, يمش ترووح ترران س وودم غر لخلا  -اششاون ن تغط","""When they graze, they turn their faces toward the populated place, and when evening comes, they turn their faces toward the wilderness!"" – The horns of the goat."
"ⵉⵏⵏ ⵉⴷⴷⵔⵏ ⵥⵥⵓⵖⵖⵓⵕⵏ ⵉⵏⵏ ⵉⵎⵎⵓⵜⵏ, ⵉⵏⵏ ⵉⵎⵎⵓⵜⵏ ⵥⵥⵓⵖⵖⵓⵕⵏ ⵉⵏⵏ ⵉⴷⴷⵔⵏ  -ⵜⵢⵓⵢⴰ ⴷ ⵜⵙⵉⵍⵉ ⴷ ⴱⵏⴰⴷⵎ",الأحياء يجرون الأموات، والأموات يجرون الأحياء!– دابتا الحرث والمحراث الخشبي والإنسان.,"inn iddrn ẓẓughghuṛn inn immutn, inn immutn ẓẓughghuṛn inn iddrn  -tyuya d tsili d bnadm","ينن يددرن زّزّوغغورن ينن يمموتن, ينن يمموتن زّزّوغغورن ينن يددرن  -تيويا د تسيلي د بنادم","The living drag the dead, and the dead drag the living! – The plowing oxen, the wooden plow, and humanity."
ⵉⵏⵄⵄⵜ ⵍⵡⵇⴰⵜ ⵎⴰⵛⴰ ⵓⵔ ⵉⵜⵜⵥⵉⵍⵍⵉ  -ⵢⴰⵥⵉⵟ,يبين الأوقات لكن لا يصلي!– الديك.,in33t lwqat masha ur ittẓilli  -yaẓiṭ,ينععت لوقات ماشا ور يتتزّيللي  -يازّيط,"""He shows the times but does not pray! – The rooster."""
ⵉⵔⴳⴱ ⴷ ⵓⵔ ⴷ ⵢⵓⵜⵉⴼ  -ⴰⵎⵏⴰⵕ,أطلّت ولم تدخل!– عتبة المنزل.,irgb d ur d yutif  -amnaṛ,يرڭب د ور د يوتيف  -امنار,She appeared but did not enter! – The doorstep of the house.
