"English","Tamazight_Sentence","Dialect","Tamazight","Tamazight_Latin","Tamazight_Arabic"
"Her dad won't be coming, he is very busy.","Babas ur rad d yack, ur t id yaɣ akkʷ.","Tachelhit","Bⴰⴲⴰⵙ ⵓⵔ ⵔⴰⴷ ⴷ ⵢⴰcⴿ, ⵓⵔ ⵝ ⵉⴷ ⵢⴰⵖ ⴰⴿⴿʷ.","Babas ur rad d yack, ur t id yaɣ akkʷ.","Babas ur rad d yack, ur t id yaغ akkʷ."
"Whose is this?","Win mit ad iga mayad?","Tachelhit","Wⵉⵏ ⵎⵉⵝ ⴰⴷ ⵉⴴⴰ ⵎⴰⵢⴰⴷ?","Win mit ad iga mayad?","Win mit ad iga mayad?"
"He is allergic to dust.","Tlla gis tmɣrit n ugḍṛuṛ.","Tachelhit","Tⵍⵍⴰ ⴴⵉⵙ ⵝⵎⵖⵔⵉⵝ ⵏ ⵓⴴⴺⵕⵓⵕ.","Tlla gis tmɣrit n ugḍṛuṛ.","Tlla gis tmغrit n ugḍṛuṛ."
"Spring arrived.","Tlkm d tlldrar.","Tachelhit","Tⵍⴿⵎ ⴷ ⵝⵍⵍⴷⵔⴰⵔ.","Tlkm d tlldrar.","Tlkm d tlldrar."
"How come we don't go to the mountain?","ⵎⴰⵏⵉⴽ ⵣⴰ, ⵓⵔⴰ ⵏⴷⴷⵓ ⵙ ⴰⴷⵔⴰⵔ","Tachelhit","ⵎⴰⵏⵉⴽ ⵣⴰ, ⵓⵔⴰ ⵏⴷⴷⵓ ⵙ ⴰⴷⵔⴰⵔ","manik za, ura nddu s adrar","مانيك زا, ورا نددو س ادرار"
"Can I help you?","ⵉⵣⴷ ⵓⴼⵉⵃ ⴰⵢⴽ ⴰⵡⵙⵃ? ","Tachelhit","ⵉⵣⴷ ⵓⴼⵉⵃ ⴰⵢⴽ ⴰⵡⵙⵃ? ","izd ufiḥ ayk awsḥ? ","يزد وفيح ايك اوسح? "
"Do you want me to come to Japan to see you?","ⵉⵣⴷ ⵜⵔⵉⵜ ⴰⵏ ⴰⵛⴽⵉⵃ ⵙ ⵊⴰⴱⵓⵏ ⴰⴽ ⵥⵔⵃ","Tachelhit","ⵉⵣⴷ ⵜⵔⵉⵜ ⴰⵏ ⴰⵛⴽⵉⵃ ⵙ ⵊⴰⴱⵓⵏ ⴰⴽ ⵥⵔⵃ","izd trit an ashkiḥ s jabun ak ẓrḥ","يزد تريت ان اشكيح س جابون اك زّرح"
"How are you?","ⵍⴰⴱⴰⵙ ⴷⴰⵔⴽ? ","Tachelhit","ⵍⴰⴱⴰⵙ ⴷⴰⵔⴽ? ","labas dark? ","لاباس دارك? "
"Leave me alone!","ⴼⵉⵢⵉ ⵍⵓⵇⵔ! ","Tachelhit","ⴼⵉⵢⵉ ⵍⵓⵇⵔ! ","fiyi luqr! ","فييي لوقر! "
"He died from lack of oxygen.","ⵉⵎⵎⵓⵜ ⴰⵛⴽⵓ ⵉⴷⵔⵓⵙ ⴰⵙ ⵡⵓⴽⵙⵉⵊⵉⵏ.","Tachelhit","ⵉⵎⵎⵓⵜ ⴰⵛⴽⵓ ⵉⴷⵔⵓⵙ ⴰⵙ ⵡⵓⴽⵙⵉⵊⵉⵏ.","immut ashku idrus as wuksijin.","يمموت اشكو يدروس اس ووكسيجين."
"Is he still alive?","ⵉⵙⵓⵍⵏ ⵙⵓⵍ? ","Tachelhit","ⵉⵙⵓⵍⵏ ⵙⵓⵍ? ","isuln sul? ","يسولن سول? "
"Shut all the doors and windows.","ⵇⵇⵏ ⴽⵓⵍⵍⵓ ⵉⴳⴳⵓⵔⴰ ⴷ ⵛⵔⴰⵊⵎ","Tachelhit","ⵇⵇⵏ ⴽⵓⵍⵍⵓ ⵉⴳⴳⵓⵔⴰ ⴷ ⵛⵔⴰⵊⵎ","qqn kullu iggura d shrajm","ققن كوللو يڭڭورا د شراجم"
"Someone was calling my name.","ⴽⵔⴰ ⵏ ⵢⴰⵏ ⴰⵔⵉⵢⵉ ⵢⴰⵇⵔⴰ ⵙ ⵉⵙⵎ ⵉⵏⵓ","Tachelhit","ⴽⵔⴰ ⵏ ⵢⴰⵏ ⴰⵔⵉⵢⵉ ⵢⴰⵇⵔⴰ ⵙ ⵉⵙⵎ ⵉⵏⵓ","kra n yan ariyi yaqra s ism inu","كرا ن يان ارييي ياقرا س يسم ينو"
"If you add three to four, you get seven.","ⵉⵃ ⵜⵣⵓⵢⴷⵜ ⴽⵕⴰⴹ ⵉ ⴽⴽⵓⵥ, ⴰⵔⴰⴽ ⴰⴽⴽⴰⵏ ⵙⴰ","Tachelhit","ⵉⵃ ⵜⵣⵓⵢⴷⵜ ⴽⵕⴰⴹ ⵉ ⴽⴽⵓⵥ, ⴰⵔⴰⴽ ⴰⴽⴽⴰⵏ ⵙⴰ","iḥ tzuydt kṛaḍ i kkuẓ, arak akkan sa","يح تزويدت كراض ي ككوزّ, اراك اككان سا"
"I like French, but I cannot speak it well.","ⵃⵎⵍⵃ ⵜⴼⵕⴰⵏⵚⵉⵚⵜ, ⵎⴰⵛ ⵓⵔⴰⵙⵉⵙ ⵙⴰⵡⴰⵍⵃ ⵎⵍⵉⵃ ","Tachelhit","ⵃⵎⵍⵃ ⵜⴼⵕⴰⵏⵚⵉⵚⵜ, ⵎⴰⵛ ⵓⵔⴰⵙⵉⵙ ⵙⴰⵡⴰⵍⵃ ⵎⵍⵉⵃ ","ḥmlḥ tfṛanṣiṣt, mash urasis sawalḥ mliḥ ","حملح تفرانصيصت, ماش وراسيس ساوالح مليح "
"Nobody can ever help me.","ⵜⴰ ⵢⴰⵏ ⵓⵔⵉⵥⴹⴰⵔ ⴰⵢⵉ ⵢⴰⵡⵙ ","Tachelhit","ⵜⴰ ⵢⴰⵏ ⵓⵔⵉⵥⴹⴰⵔ ⴰⵢⵉ ⵢⴰⵡⵙ ","ta yan uriẓḍar ayi yaws ","تا يان وريزّضار ايي ياوس "
"What will you have?","ⵎⴰⵔⴰ ⴷⴷⴰⵔⴽ ⵢⵉⵍⵉ? ","Tachelhit","ⵎⴰⵔⴰ ⴷⴷⴰⵔⴽ ⵢⵉⵍⵉ? ","mara ddark yili? ","مارا ددارك ييلي? "
"He is talking on the phone.","ⴰⵔ ⵉⵙⴰⵡⴰⵍ ⵃ ⵜⵉⵍⵉⴼⵓⵏ ","Tachelhit","ⴰⵔ ⵉⵙⴰⵡⴰⵍ ⵃ ⵜⵉⵍⵉⴼⵓⵏ ","ar isawal ḥ tilifun ","ار يساوال ح تيليفون "
"I want to drink a cup of tea.","ⵔⵉⵃ ⴰⴷ ⵙⵓⵃ ⵢⴰⵏ ⵍⴽⴰⵙ ⵏ ⵡⴰⵜⴰⵢ ","Tachelhit","ⵔⵉⵃ ⴰⴷ ⵙⵓⵃ ⵢⴰⵏ ⵍⴽⴰⵙ ⵏ ⵡⴰⵜⴰⵢ ","riḥ ad suḥ yan lkas n watay ","ريح اد سوح يان لكاس ن واتاي "
"How do you spend the New Year?","ⵎⴰⵏⵉⴽ ⴰⵙⴰ ⵜⵣⵔⴰⵢⵜ ⴰⵙⴳⴳⵯⴰⵙ ⴰⵎⴰⵢⵏⵓ ","Tachelhit","ⵎⴰⵏⵉⴽ ⴰⵙⴰ ⵜⵣⵔⴰⵢⵜ ⴰⵙⴳⴳⵯⴰⵙ ⴰⵎⴰⵢⵏⵓ ","manik asa tzrayt asggⵯas amaynu ","مانيك اسا تزرايت اسڭڭⵯاس اماينو "
"Masin and his sibling ate Abazin.","ⵉⵛⵛⴰ ⵎⴰⵙⵉⵏ ⴰⴱⴰⵣⵉⵏ ⵏⵜⵜⴰ ⴷ ⵡⴰⵢⵜⵎⴰⵙ.","Tachelhit","ⵉⵛⵛⴰ ⵎⴰⵙⵉⵏ ⴰⴱⴰⵣⵉⵏ ⵏⵜⵜⴰ ⴷ ⵡⴰⵢⵜⵎⴰⵙ.","ishsha masin abazin ntta d waytmas.","يششا ماسين ابازين نتتا د وايتماس."
"In 1977, I was born in Osaka.","Ɣ 1977, lulɣ ɣ Uṣaka.","Tachelhit","Ɣ 1977, ⵍⵓⵍⵖ ⵖ Uⵚⴰⴿⴰ.","Ɣ 1977, lulɣ ɣ Uṣaka.","Ɣ 1977, lulغ غ Uṣaka."
"He was the first to arrive.","ⵏⵜⵜⴰⵏ ⴰⴷ ⵉⴳⴰⵏ ⴰⵎⵣⵡⴰⵔⵓ ⴰⴷ ⵉⵍⴽⵎ.","Tachelhit","ⵏⵜⵜⴰⵏ ⴰⴷ ⵉⴳⴰⵏ ⴰⵎⵣⵡⴰⵔⵓ ⴰⴷ ⵉⵍⴽⵎ.","nttan ad igan amzwaru ad ilkm.","نتتان اد يڭان امزوارو اد يلكم."
"It was almost noon by the time Tom woke up.","ⵄⵍⴰⵢⵏ ⴰⴷ ⴷ ⵉⵍⴽⵎ ⵜⵓⵥⵥⵓⵎⵜ ⵏ ⵡⴰⵙⵙ ⵍⵍⵉⵖ ⴷ ⵉⵏⴽⵔ ⵟⵓⵎ.","Tachelhit","ⵄⵍⴰⵢⵏ ⴰⴷ ⴷ ⵉⵍⴽⵎ ⵜⵓⵥⵥⵓⵎⵜ ⵏ ⵡⴰⵙⵙ ⵍⵍⵉⵖ ⴷ ⵉⵏⴽⵔ ⵟⵓⵎ.","3layn ad d ilkm tuẓẓumt n wass lliɣ d inkr ṭum.","علاين اد د يلكم توزّزّومت ن واسس لليغ د ينكر طوم."
"Who's your favorite hip-hop artist?","ⵎⴰⴷ ⵉⴳⴰⵏ ⴰⵏⴰⵥⵓⵕ ⵏ ⵀⵉⴱ ⵀⵓⴱⴱ ⵏⵏⴰ ⴰⴽⴽⵯ ⴷⴰⵔⴽ ⵉⵄⵣⵣⴰⵏ?","Tachelhit","ⵎⴰⴷ ⵉⴳⴰⵏ ⴰⵏⴰⵥⵓⵕ ⵏ ⵀⵉⴱ ⵀⵓⴱⴱ ⵏⵏⴰ ⴰⴽⴽⵯ ⴷⴰⵔⴽ ⵉⵄⵣⵣⴰⵏ?","mad igan anaẓuṛ n hib hubb nna akkⵯ dark i3zzan?","ماد يڭان انازّور ن هيب هوبب ننا اككⵯ دارك يعززان?"
"She bought him a camera.","ⵜⵙⵖⴰ ⴰⵙ ⴷ ⵢⴰⵜ ⵍⴽⴰⵎⵉⵔⴰ.","Tachelhit","ⵜⵙⵖⴰ ⴰⵙ ⴷ ⵢⴰⵜ ⵍⴽⴰⵎⵉⵔⴰ.","tsɣa as d yat lkamira.","تسغا اس د يات لكاميرا."
"It's good. You should try it.","ⵜⵥⵉⵍ, ⵉⵅⵚⵚⴰ ⴰⴷ ⵜⵜ ⵜⴰⵔⵎⵜ.","Tachelhit","ⵜⵥⵉⵍ, ⵉⵅⵚⵚⴰ ⴰⴷ ⵜⵜ ⵜⴰⵔⵎⵜ.","tẓil, ikhṣṣa ad tt tarmt.","تزّيل, يخصصا اد تت تارمت."
"I can do it","ⵥⴹⴰⵕⵖ ⴰⴷ ⵜⵜ ⵙⴽⵔⵖ","Tachelhit","ⵥⴹⴰⵕⵖ ⴰⴷ ⵜⵜ ⵙⴽⵔⵖ","ẓḍaṛɣ ad tt skrɣ","زّضارغ اد تت سكرغ"
"I am eating my dinner.","ⴰⵔ ⵛⵜⵜⴰⵖ ⵉⵎⵏⵙⵉ ⵉⵏⵓ.","Tachelhit","ⴰⵔ ⵛⵜⵜⴰⵖ ⵉⵎⵏⵙⵉ ⵉⵏⵓ.","ar shttaɣ imnsi inu.","ار شتتاغ يمنسي ينو."
"I am writing my new book.","ⴰⵔ ⵜⵜⴰⵔⴰⵖ ⴰⴷⵍⵉⵙ ⵉⵏⵓ ⴰⵎⴰⵢⵏⵓ?","Tachelhit","ⴰⵔ ⵜⵜⴰⵔⴰⵖ ⴰⴷⵍⵉⵙ ⵉⵏⵓ ⴰⵎⴰⵢⵏⵓ?","ar ttaraɣ adlis inu amaynu?","ار تتاراغ ادليس ينو اماينو?"
"My parents","ⵉⵎⴰⵔⴰⵡⵏ ⵉⵏⵓ","Tachelhit","ⵉⵎⴰⵔⴰⵡⵏ ⵉⵏⵓ","imarawn inu","يماراون ينو"
"My mom","ⵢⵉⵎⵎⵉ","Tachelhit","ⵢⵉⵎⵎⵉ","yimmi","ييممي"
"What in the hell is this?","Man arwass ad iga ɣayad?","Tachelhit","Mⴰⵏ ⴰⵔⵡⴰⵙⵙ ⴰⴷ ⵉⴴⴰ ⵖⴰⵢⴰⴷ?","Man arwass ad iga ɣayad?","Man arwass ad iga غayad?"
"I didn't sleep well last night.","ⵓⵔ ⴱⴰⵀⵔⴰ ⵟⵟⵉⵙⵖ ⵖ ⵢⵉⴹ ⵏ ⵢⵉⴹⴳⴰⵎ.","Tachelhit","ⵓⵔ ⴱⴰⵀⵔⴰ ⵟⵟⵉⵙⵖ ⵖ ⵢⵉⴹ ⵏ ⵢⵉⴹⴳⴰⵎ.","ur bahra ṭṭisɣ ɣ yiḍ n yiḍgam.","ور باهرا ططيسغ غ ييض ن ييضڭام."
"I don't know you.","ⵓⵔ ⴽ ⵙⵙⵉⵏⵖ.","Tachelhit","ⵓⵔ ⴽ ⵙⵙⵉⵏⵖ.","ur k ssinɣ.","ور ك سسينغ."
"I don't know what to do.","ⵓⵔ ⵙⵙⵉⵏⵖ ⵎⴰ ⵔⴰⴷ ⵙⴽⵔⵖ.","Tachelhit","ⵓⵔ ⵙⵙⵉⵏⵖ ⵎⴰ ⵔⴰⴷ ⵙⴽⵔⵖ.","ur ssinɣ ma rad skrɣ.","ور سسينغ ما راد سكرغ."
"I don't know how.","ⵓⵔ ⵙⵙⵉⵏⵖ ⵎⴰⵏⵉⴽ.","Tachelhit","ⵓⵔ ⵙⵙⵉⵏⵖ ⵎⴰⵏⵉⴽ.","ur ssinɣ manik.","ور سسينغ مانيك."
"I didn't see you.","ⵓⵔ ⴽ ⵥⵕⵉⵖ.","Tachelhit","ⵓⵔ ⴽ ⵥⵕⵉⵖ.","ur k ẓṛiɣ.","ور ك زّريغ."
"I will travel to Florida next week.","ⵔⴰⴷ ⵎⵎⵓⴷⴷⵓⵖ ⵙ ⴼⵍⵓⵕⵉⴹⴰ ⵉⵎⴰⵍⵙⵙ ⴰⵏⵏ.","Tachelhit","ⵔⴰⴷ ⵎⵎⵓⴷⴷⵓⵖ ⵙ ⴼⵍⵓⵕⵉⴹⴰ ⵉⵎⴰⵍⵙⵙ ⴰⵏⵏ.","rad mmudduɣ s fluṛiḍa imalss ann.","راد مموددوغ س فلوريضا يمالسس انن."
"I want to see you tomorrow.","ⵔⵉⵖ ⴰⴷ ⴽ ⵥⵕⵖ ⴰⵙⴽⴽⴰ.","Tachelhit","ⵔⵉⵖ ⴰⴷ ⴽ ⵥⵕⵖ ⴰⵙⴽⴽⴰ.","riɣ ad k ẓṛɣ askka.","ريغ اد ك زّرغ اسككا."
"I don't agree with you.","ⵓⵔ ⴷ ⴷⵉⴷⴽ ⵎⵛⴰⵛⴽⴰⵖ.","Tachelhit","ⵓⵔ ⴷ ⴷⵉⴷⴽ ⵎⵛⴰⵛⴽⴰⵖ.","ur d didk mshashkaɣ.","ور د ديدك مشاشكاغ."
"I am tired.","ⵕⵎⵉⵖ.","Tachelhit","ⵕⵎⵉⵖ.","ṛmiɣ.","رميغ."
"I want to buy it but I don't have money.","ⵔⵉⵖ ⴰⴷ ⵜ ⵙⵖⵖ ⵎⴰⵛⵛ ⵓⵔ ⴷⴰⵔⵉ ⵉⴷⵔⵉⵎⵏ.","Tachelhit","ⵔⵉⵖ ⴰⴷ ⵜ ⵙⵖⵖ ⵎⴰⵛⵛ ⵓⵔ ⴷⴰⵔⵉ ⵉⴷⵔⵉⵎⵏ.","riɣ ad t sɣɣ mashsh ur dari idrimn.","ريغ اد ت سغغ ماشش ور داري يدريمن."
"Eat!","ⵛⵛ!","Tachelhit","ⵛⵛ!","shsh!","شش!"
"Drive!","ⵏⴷⵀ!","Tachelhit","ⵏⴷⵀ!","ndh!","نده!"
"Sleep!"," ⴳⵯⵏ!","Tachelhit"," ⴳⵯⵏ!"," gⵯn!"," ڭⵯن!"
"Yes","ⵢⴰⵀ","Tachelhit","ⵢⴰⵀ","yah","ياه"
"No","ⵓⵀⵓ","Tachelhit","ⵓⵀⵓ","uhu","وهو"
"Where are you going?","ⵎⴰⵏⵉ ⵜⵔⵉⵜ?","Tachelhit","ⵎⴰⵏⵉ ⵜⵔⵉⵜ?","mani trit?","ماني تريت?"
"I find it.","ⵓⴼⵉⵖ ⵜ.","Tachelhit","ⵓⴼⵉⵖ ⵜ.","ufiɣ t.","وفيغ ت."
"I did it.","ⵙⴽⵔⵖ ⵜ.","Tachelhit","ⵙⴽⵔⵖ ⵜ.","skrɣ t.","سكرغ ت."
"I don't have any questions.","ⵓⵔ ⴷⴰⵔⵉ ⴽⵔⴰ ⵏ ⵓⵙⵇⵇⵙⵉ.","Tachelhit","ⵓⵔ ⴷⴰⵔⵉ ⴽⵔⴰ ⵏ ⵓⵙⵇⵇⵙⵉ.","ur dari kra n usqqsi.","ور داري كرا ن وسققسي."
"I will do my best to solve this problem.","ⵔⴰⴷ ⵏⵏ ⴳⵖ ⵜⵓⴳⴳⴰⵙ ⵉⵏⵓ ⴰⴼⴰⴷ ⴰⴷ ⴼⵙⵉⵖ ⴰⵎⵓⴽⵔⵉⵙ ⴰⴷ.","Tachelhit","ⵔⴰⴷ ⵏⵏ ⴳⵖ ⵜⵓⴳⴳⴰⵙ ⵉⵏⵓ ⴰⴼⴰⴷ ⴰⴷ ⴼⵙⵉⵖ ⴰⵎⵓⴽⵔⵉⵙ ⴰⴷ.","rad nn gɣ tuggas inu afad ad fsiɣ amukris ad.","راد نن ڭغ توڭڭاس ينو افاد اد فسيغ اموكريس اد."
"Translate the word.","Saɣul taguri-ad","Tachelhit","Sⴰⵖⵓⵍ ⵝⴰⴴⵓⵔⵉ-ⴰⴷ","Saɣul taguri-ad","Saغul taguri-ad"
"Good morning!","ⵜⵉⴼⴰⵡⵉⵏ!","Tachelhit","ⵜⵉⴼⴰⵡⵉⵏ!","tifawin!","تيفاوين!"
"I don't speak Arabic","Ur ar sawalɣ s taɛṛabt","Tachelhit","Uⵔ ⴰⵔ ⵙⴰⵡⴰⵍⵖ ⵙ ⵝⴰɛⵕⴰⴲⵝ","Ur ar sawalɣ s taɛṛabt","Ur ar sawalغ s taɛṛabt"
"I don't have money","Ur ṭṭafɣ iqariḍn ","Tachelhit","Uⵔ ⵟⵟⴰⴼⵖ ⵉⵇⴰⵔⵉⴺⵏ ","Ur ṭṭafɣ iqariḍn ","Ur ṭṭafغ iqariḍn "
"Excuse me","Ssurf-iyi","Tachelhit","Sⵙⵓⵔⴼ-ⵉⵢⵉ","Ssurf-iyi","Ssurf-iyi"
"Stop talking!","ⴼⵙⵙ!","Tachelhit","ⴼⵙⵙ!","fss!","فسس!"
"I don't understand ","ⵓⵔ ⴼⵀⵉⵎⵖ","Tachelhit","ⵓⵔ ⴼⵀⵉⵎⵖ","ur fhimɣ","ور فهيمغ"
"Follow me!","ⴹⴼⵕ ⵉⵢⵉ!","Tachelhit","ⴹⴼⵕ ⵉⵢⵉ!","ḍfṛ iyi!","ضفر ييي!"
"Join me!","ⵍⴽⵎ ⵉⵢⵉ!","Tachelhit","ⵍⴽⵎ ⵉⵢⵉ!","lkm iyi!","لكم ييي!"
"Good luck","ⴰⵏⵏⴰⵣ ⵉⴼⵓⵍⴽⵉⵏ","Tachelhit","ⴰⵏⵏⴰⵣ ⵉⴼⵓⵍⴽⵉⵏ","annaz ifulkin","انناز يفولكين"
"Please don't forget my gift.","ⴰⵊⴰⴷ ⵏⵏⴽ ⴰⴷ ⵊⵔ ⵜⴻⵜⵜⵓⵜ ⵜⴰⵔⵣⵣⵉⴼⵜ ⵉⵏⵓ.","Tachelhit","ⴰⵊⴰⴷ ⵏⵏⴽ ⴰⴷ ⵊⵔ ⵜⴻⵜⵜⵓⵜ ⵜⴰⵔⵣⵣⵉⴼⵜ ⵉⵏⵓ.","ajad nnk ad jr tettut tarzzift inu.","اجاد ننك اد جر ت°تتوت تارززيفت ينو."
"I will call you tomorrow.","ⵔⴰⴷ ⴰⴽ ⵖⵔⵖ ⴰⵙⴽⴽⴰ.","Tachelhit","ⵔⴰⴷ ⴰⴽ ⵖⵔⵖ ⴰⵙⴽⴽⴰ.","rad ak ɣrɣ askka.","راد اك غرغ اسككا."
"I don't know where to go.","ⵓⵔ ⵙⵙⵉⵏⵖ ⵎⴰⵏⵉ ⵙ ⵔⴰⴷ ⴷⴷⵓⵖ.","Tachelhit","ⵓⵔ ⵙⵙⵉⵏⵖ ⵎⴰⵏⵉ ⵙ ⵔⴰⴷ ⴷⴷⵓⵖ.","ur ssinɣ mani s rad dduɣ.","ور سسينغ ماني س راد ددوغ."
"I will teach you how to translate to Tamazight.","ⵔⴰⴷ ⵙⴽ ⵙⵙⵍⵎⴷⵖ ⵎⴰⵏⵎⴽ ⴰ ⵙ ⵔⴰⴷ ⵜⵙⵙⵓⵖⵍⵜ ⵙ ⵜⵎⴰⵣⵉⵖⵜ.","Tachelhit","ⵔⴰⴷ ⵙⴽ ⵙⵙⵍⵎⴷⵖ ⵎⴰⵏⵎⴽ ⴰ ⵙ ⵔⴰⴷ ⵜⵙⵙⵓⵖⵍⵜ ⵙ ⵜⵎⴰⵣⵉⵖⵜ.","rad sk sslmdɣ manmk a s rad tssuɣlt s tmaziɣt.","راد سك سسلمدغ مانمك ا س راد تسسوغلت س تمازيغت."
"Do not cry baby","ⴰⴷ ⵓⵔ ⵜⴰⵍⵍⴰⵜ ⴰ ⵜⴰⵙⴰ ⵉⵏⵓ","Tachelhit","ⴰⴷ ⵓⵔ ⵜⴰⵍⵍⴰⵜ ⴰ ⵜⴰⵙⴰ ⵉⵏⵓ","ad ur tallat a tasa inu","اد ور تاللات ا تاسا ينو"
"I didn't know you speak English.","ⵓⵔ ⵢⴰⴷⵍⵍⵉ ⵙⵙⵉⵏⵖ ⵉⵙ ⴰⵔ ⵜⵙⴰⵡⴰⵍⵜ ⵜⴰⵏⴳⵍⵉⵣⵜ.","Tachelhit","ⵓⵔ ⵢⴰⴷⵍⵍⵉ ⵙⵙⵉⵏⵖ ⵉⵙ ⴰⵔ ⵜⵙⴰⵡⴰⵍⵜ ⵜⴰⵏⴳⵍⵉⵣⵜ.","ur yadlli ssinɣ is ar tsawalt tanglizt.","ور يادللي سسينغ يس ار تساوالت تانڭليزت."
"I can not sleep.","ⵓⵔ ⵥⴹⴰⵕⵖ ⴰⴷ ⵟⵟⵚⵖ.","Tachelhit","ⵓⵔ ⵥⴹⴰⵕⵖ ⴰⴷ ⵟⵟⵚⵖ.","ur ẓḍaṛɣ ad ṭṭṣɣ.","ور زّضارغ اد ططصغ."
"Good afternoon ","ⵜⵉⵎⴽⵍⵉⵡⵉⵏ","Tachelhit","ⵜⵉⵎⴽⵍⵉⵡⵉⵏ","timkliwin","تيمكليوين"
"Good evening","ⵜⵉⵎⴷⴷⵉⵡⵉⵏ","Tachelhit","ⵜⵉⵎⴷⴷⵉⵡⵉⵏ","timddiwin","تيمدديوين"
"Good night","ⵜⵉⵎⵏⵙⵉⵡⵉⵏ","Tachelhit","ⵜⵉⵎⵏⵙⵉⵡⵉⵏ","timnsiwin","تيمنسيوين"
"Wake up!","ⵏⴽⵔ!","Tachelhit","ⵏⴽⵔ!","nkr!","نكر!"
"Drink!","ⵙⵓ!","Tachelhit","ⵙⵓ!","su!","سو!"
"Drink","ⵙⵓ!","Tachelhit","ⵙⵓ!","su!","سو!"
"Drink!","ⵙⵓ!","Tachelhit","ⵙⵓ!","su!","سو!"
"Drink!","ⵙⵓ!","Tachelhit","ⵙⵓ!","su!","سو!"
"I don't have it with me now.","ⵓⵔ ⴷⴰⵔⵉ ⵉⵍⵍⵉ ⵖⵉⵍⴰⴷ.","Tachelhit","ⵓⵔ ⴷⴰⵔⵉ ⵉⵍⵍⵉ ⵖⵉⵍⴰⴷ.","ur dari illi ɣilad.","ور داري يللي غيلاد."
"I went home.","ⴷⴷⵉⵖ ⵙ ⵜⴳⵎⵎⵉ.","Tachelhit","ⴷⴷⵉⵖ ⵙ ⵜⴳⵎⵎⵉ.","ddiɣ s tgmmi.","دديغ س تڭممي."
"I will visit you as soon as possible.","ⵔⴰⴷ ⴷ ⴷⴰⵔⴽ ⴽⴽⵖ ⵖ ⵎⴰⴷ ⴷ ⵢⴰⵥⵏ.","Tachelhit","ⵔⴰⴷ ⴷ ⴷⴰⵔⴽ ⴽⴽⵖ ⵖ ⵎⴰⴷ ⴷ ⵢⴰⵥⵏ.","rad d dark kkɣ ɣ mad d yaẓn.","راد د دارك ككغ غ ماد د يازّن."
"Stop saying that!","ⴰⴷ ⵓⴽⴰⵏ ⵊⵔ ⵜⴻⵜⵜⵉⵏⵉⵜ ⵖⵉⴽⴰⵏⵏ!","Tachelhit","ⴰⴷ ⵓⴽⴰⵏ ⵊⵔ ⵜⴻⵜⵜⵉⵏⵉⵜ ⵖⵉⴽⴰⵏⵏ!","ad ukan jr tettinit ɣikann!","اد وكان جر ت°تتينيت غيكانن!"
"I will be back tomorrow.","ⵔⴰⴷ ⴷ ⵓⵔⵔⵉⵖ ⴰⵙⴽⴽⴰ.","Tachelhit","ⵔⴰⴷ ⴷ ⵓⵔⵔⵉⵖ ⴰⵙⴽⴽⴰ.","rad d urriɣ askka.","راد د ورريغ اسككا."
"Cow","Thafonast","Tarifit","Tⵁⴰⴼoⵏⴰⵙⵝ","Thafonast","Thafonast"
"Hands","Ifassn","Tarifit","Iⴼⴰⵙⵙⵏ","Ifassn","Ifassn"
"Legs","Idan","Tarifit","Iⴷⴰⵏ","Idan","Idan"
"Mouth","Akammum","Tarifit","Aⴿⴰⵎⵎⵓⵎ","Akammum","Akammum"
"Eyes","Titawin","Tarifit","Tⵉⵝⴰⵡⵉⵏ","Titawin","Titawin"
"Freedom","Thireli","Tarifit","Tⵁⵉⵔⴻⵍⵉ","Thireli","Thireli"
"Hair","Achowaf","Tarifit","Acⵁoⵡⴰⴼ","Achowaf","Achowaf"
"Gossip","Thimanna","Tarifit","Tⵁⵉⵎⴰⵏⵏⴰ","Thimanna","Thimanna"
"Game","Ira","Tarifit","Iⵔⴰ","Ira","Ira"
"City","Thandint","Tarifit","Tⵁⴰⵏⴷⵉⵏⵝ","Thandint","Thandint"
"Village","Dchar","Tarifit","Dcⵁⴰⵔ","Dchar","Dchar"
"Friend","Amddukar","Tarifit","Aⵎⴷⴷⵓⴿⴰⵔ","Amddukar","Amddukar"
"Friends","Imaddukar","Tarifit","Iⵎⴰⴷⴷⵓⴿⴰⵔ","Imaddukar","Imaddukar"
"Man","Ayaz","Tarifit","Aⵢⴰⵣ","Ayaz","Ayaz"
"Women","Thamghath","Tarifit","Tⵁⴰⵎⴴⵁⴰⵝⵁ","Thamghath","Thamghath"
"Old","Awassar","Tarifit","Aⵡⴰⵙⵙⴰⵔ","Awassar","Awassar"
"Come","Arahad","Tarifit","Aⵔⴰⵁⴰⴷ","Arahad","Arahad"
"Go away","Ruh","Tarifit","Rⵓⵁ","Ruh","Ruh"
"Cry","Yatru","Tarifit","Yⴰⵝⵔⵓ","Yatru","Yatru"
"Let's go to the beach ","Anah gha rabha","Tarifit","Aⵏⴰⵁ ⴴⵁⴰ ⵔⴰⴲⵁⴰ","Anah gha rabha","Anah gha rabha"
"My head hurts ","Itaksayi ozadllif","Tarifit","Iⵝⴰⴿⵙⴰⵢⵉ oⵣⴰⴷⵍⵍⵉⴼ","Itaksayi ozadllif","Itaksayi ozadllif"
"I have been told ","Nnanayi","Tarifit","Nⵏⴰⵏⴰⵢⵉ","Nnanayi","Nnanayi"
