English_Sentence,Tamazight_Sentence,Dialect,Tamazight_Tifinagh,Tamazight_Arabic,Tamazight_Latin
I forgot to say hello to you.,ⵜⵜⵓⵖ ⴰⴷⴰⴽ ⵉⵏⵉⵖ ⴰⵣⵓⵍ,Tachelhit,ⵜⵜⵓⵖ ⴰⴷⴰⴽ ⵉⵏⵉⵖ ⴰⵣⵓⵍ,تتوغ اداك ينيغ ازول,ttuɣ adak iniɣ azul
Where are you,ⵎⴰⵏⵉⴽ,Tachelhit,ⵎⴰⵏⵉⴽ,مانيك,manik
Translation in Tamazight.,ⴰⵙⵓⵖⵍ ⵙ ⵜⵎⴰⵣⵉⵖⵜ ,Tachelhit,ⴰⵙⵓⵖⵍ ⵙ ⵜⵎⴰⵣⵉⵖⵜ ,اسوغل س تمازيغت ,asuɣl s tmaziɣt 
I am sending a letter to my mother.,ⴰⵣⵏⵖ ⵢⴰⵜ ⵜⴱⵔⴰⵜ ⵉ ⵢⵎⵎⴰ,Tachelhit,ⴰⵣⵏⵖ ⵢⴰⵜ ⵜⴱⵔⴰⵜ ⵉ ⵢⵎⵎⴰ,ازنغ يات تبرات ي يمما,aznɣ yat tbrat i ymma
Fasting is bad for humans.,ⵓⵥⵓⵎ ⵓⵔⵉⵃⵍⵉ ⵉ ⵓⴼⴳⴰⵏ ,Tachelhit,ⵓⵥⵓⵎ ⵓⵔⵉⵃⵍⵉ ⵉ ⵓⴼⴳⴰⵏ ,وزّوم وريحلي ي وفڭان ,uẓum uriḥli i ufgan 
Thank you for inviting us. ,ⵜⴰⵏⵎⵎⵉⵔⵜ ⵅⴼ ⵜⵖⵓⵔⵉ ⵏⵏⵓⵏ,Tachelhit,ⵜⴰⵏⵎⵎⵉⵔⵜ ⵅⴼ ⵜⵖⵓⵔⵉ ⵏⵏⵓⵏ,تانمميرت خف تغوري ننون,tanmmirt 5f tɣuri nnun
The train arrived late at the station.,tamacint tiwḍ tɛṭṭr ɣr usrsiw,Tarifit,ⵜⴰⵎⴰⵛⵉⵏⵜ ⵜⵉⵡⴹ ⵜⵄⵟⵟⵔ ⵖⵔ ⵓⵙⵔⵙⵉⵡ,تاماشينت تيوض تعططر غر وسرسيو,tamashint tiwḍ tɛṭṭr ɣr usrsiw
The bird flew high in the sky.,ajḍiḍ iḍwa yuɛla dg ujnna,Tarifit,ⴰⵊⴹⵉⴹ ⵉⴹⵡⴰ ⵢⵓⵄⵍⴰ ⴷⴳ ⵓⵊⵏⵏⴰ,اجضيض يضوا يوعلا دڭ وجننا,ajḍiḍ iḍwa yuɛla dg ujnna
New York City never sleeps.,tamdint n Nyu Yurk ɛmmrs ur tteṭṭs,Tarifit,ⵜⴰⵎⴷⵉⵏⵜ ⵏ ⵏⵢⵓ ⵢⵓⵔⴽ ⵄⵎⵎⵔⵙ ⵓⵔ ⵜⵜⴻⵟⵟⵙ,تامدينت ن نيو يورك عممرس ور تت ططس,tamdint n nyu yurk ɛmmrs ur tteṭṭs
Fatima's book is on the shelf.,aktab n Faṭima aqqa-t dg tarccaqt,Tarifit,ⴰⴽⵜⴰⴱ ⵏ ⴼⴰⵟⵉⵎⴰ ⴰⵇⵇⴰ-ⵜ ⴷⴳ ⵜⴰⵔⵛⵛⴰⵇⵜ,اكتاب ن فاطيما اققا-ت دڭ تارششاقت,aktab n faṭima a99a-t dg tarshsha9t
He abandoned his family.,Ifl tawja nns.,Tachelhit,ⵉⴼⵍ ⵜⴰⵡⵊⴰ ⵏⵏⵙ.,يفل تاوجا ننس.,ifl tawja nns.
I never saw him again.,Ur jjun t daɣ ẓṛiɣ.,Tachelhit,ⵓⵔ ⵊⵊⵓⵏ ⵜ ⴷⴰⵖ ⵥⵕⵉⵖ.,ور ججون ت داغ زّرّيغ.,ur jjun t daɣ ẓṛiɣ.
Come whenever you want.,Ack d kud nna ka trit.,Tachelhit,ⴰⵛⴽ ⴷ ⴽⵓⴷ ⵏⵏⴰ ⴽⴰ ⵜⵔⵉⵜ.,اشك د كود ننا كا تريت.,ashk d kud nna ka trit.
I can't wait.,Ur ẓḍarɣ ad qqlɣ.,Tachelhit,ⵓⵔ ⵥⴹⴰⵔⵖ ⴰⴷ ⵇⵇⵍⵖ.,ور زّضارغ اد ققلغ.,ur ẓḍarɣ ad 99lɣ.
The mountain trip was exhausting but rewarding. ,asafr n udrar ila digs amrrat maca issfaja,Tarifit,ⴰⵙⴰⴼⵔ ⵏ ⵓⴷⵔⴰⵔ ⵉⵍⴰ ⴷⵉⴳⵙ ⴰⵎⵔⵔⴰⵜ ⵎⴰⵛⴰ ⵉⵙⵙⴼⴰⵊⴰ,اسافر ن ودرار يلا ديڭس امررات ماشا يسسفاجا,asafr n udrar ila digs amrrat masha issfaja
The noise of the city can be overwhelming at times.,lḥss n tmdint issṛjif cra n imurn,Tarifit,ⵍⵃⵙⵙ ⵏ ⵜⵎⴷⵉⵏⵜ ⵉⵙⵙⵕⵊⵉⴼ ⵛⵔⴰ ⵏ ⵉⵎⵓⵔⵏ,لحسس ن تمدينت يسسرّجيف شرا ن يمورن,lḥss n tmdint issṛjif shra n imurn
Mozart's music is known for its beauty and complexity. ,tamusikit n Mozart tettwassn s ucwwar d wuɛar-nns,Tarifit,ⵜⴰⵎⵓⵙⵉⴽⵉⵜ ⵏ ⵎoⵣⴰⵔⵜ ⵜⴻⵜⵜⵡⴰⵙⵙⵏ ⵙ ⵓⵛⵡⵡⴰⵔ ⴷ ⵡⵓⵄⴰⵔ-ⵏⵏⵙ,تاموسيكيت ن مoزارت ت تتواسسن س وشووار د ووعار-ننس,tamusikit n mozart tettwassn s ushwwar d wuɛar-nns
The car I bought is blue.,ṭṭumubil i sɣiɣ d tazgzawt,Tarifit,ⵟⵟⵓⵎⵓⴱⵉⵍ ⵉ ⵙⵖⵉⵖ ⴷ ⵜⴰⵣⴳⵣⴰⵡⵜ,ططوموبيل ي سغيغ د تازڭزاوت,ṭṭumubil i sɣiɣ d tazgzawt
Mohamed and Samir are brothers.,Muḥmmd d Samir d awmatn,Tarifit,ⵎⵓⵃⵎⵎⴷ ⴷ ⵙⴰⵎⵉⵔ ⴷ ⴰⵡⵎⴰⵜⵏ,موحممد د سامير د اوماتن,muḥmmd d samir d awmatn
I want a coffee and a croissant for breakfast.,xsɣ ijjt n lqhwa d ijj n ukrwasan i uriyyq,Tarifit,ⵅⵙⵖ ⵉⵊⵊⵜ ⵏ ⵍⵇⵀⵡⴰ ⴷ ⵉⵊⵊ ⵏ ⵓⴽⵔⵡⴰⵙⴰⵏ ⵉ ⵓⵔⵉⵢⵢⵇ,خسغ يججت ن لقهوا د يجج ن وكرواسان ي وريييق,5sɣ ijjt n l9hwa d ijj n ukrwasan i uriyy9
The dog barks and the cat meows.,"aydi ittzu, mucc ittsmiɛu",Tarifit,"ⴰⵢⴷⵉ ⵉⵜⵜⵣⵓ, ⵎⵓⵛⵛ ⵉⵜⵜⵙⵎⵉⵄⵓ","ايدي يتتزو, موشش يتتسميعو","aydi ittzu, mushsh ittsmiɛu"
I study Spanish and French at school.,qqrɣ taspanyult d tfransist dg tmzgida,Tarifit,ⵇⵇⵔⵖ ⵜⴰⵙⵒⴰⵏⵢⵓⵍⵜ ⴷ ⵜⴼⵔⴰⵏⵙⵉⵙⵜ ⴷⴳ ⵜⵎⵣⴳⵉⴷⴰ,ققرغ تاسبانيولت د تفرانسيست دڭ تمزڭيدا,99rɣ taspanyult d tfransist dg tmzgida
She is intelligent and hardworking.,nttat d tafhhamt awd taxddamt,Tarifit,ⵏⵜⵜⴰⵜ ⴷ ⵜⴰⴼⵀⵀⴰⵎⵜ ⴰⵡⴷ ⵜⴰⵅⴷⴷⴰⵎⵜ,نتتات د تافههامت اود تاخددامت,nttat d tafhhamt awd ta5ddamt
Hammo goes to the cinema and Mamma stays at home.,"Ḥmmu ittraḥ ɣr ssini, Mamma tettɣima dg taddart",Tarifit,"ⵃⵎⵎⵓ ⵉⵜⵜⵔⴰⵃ ⵖⵔ ⵙⵙⵉⵏⵉ, ⵎⴰⵎⵎⴰ ⵜⴻⵜⵜⵖⵉⵎⴰ ⴷⴳ ⵜⴰⴷⴷⴰⵔⵜ","حممو يتتراح غر سسيني, مامما ت تتغيما دڭ تاددارت","ḥmmu ittraḥ ɣr ssini, mamma tettɣima dg taddart"
to hear,fhm,Tarifit,ⴼⵀⵎ,فهم,fhm
"to raise livestock or ""to breed animals.""",ksb,Tarifit,ⴽⵙⴱ,كسب,ksb
understanding,afham,Tarifit,ⴰⴼⵀⴰⵎ,افهام,afham
access,adaf,Tarifit,ⴰⴷⴰⴼ,اداف,adaf
proximity,adas,Tarifit,ⴰⴷⴰⵙ,اداس,adas
departure,ufuɣ,Tarifit,ⵓⴼⵓⵖ,وفوغ,ufuɣ
subtraction,ukkus,Tarifit,ⵓⴽⴽⵓⵙ,وككوس,ukkus
discovery,ifi,Tarifit,ⵉⴼⵉ,يفي,ifi
act,iggi,Tarifit,ⵉⴳⴳⵉ,يڭڭي,iggi
fact,iggi,Tarifit,ⵉⴳⴳⵉ,يڭڭي,iggi
drink,tissi,Tarifit,ⵜⵉⵙⵙⵉ,تيسسي,tissi
existence,tilit,Tarifit,ⵜⵉⵍⵉⵜ,تيليت,tilit
"lifting or ""raising.",tankra,Tarifit,ⵜⴰⵏⴽⵔⴰ,تانكرا,tankra
race.,tazzla,Tarifit,ⵜⴰⵣⵣⵍⴰ,تاززلا,tazzla
give birth,aru,Tarifit,ⴰⵔⵓ,ارو,aru
"birth or ""delivery""",tarwa,Tarifit,ⵜⴰⵔⵡⴰ,تاروا,tarwa
Reading,tiɣri,Tarifit,ⵜⵉⵖⵔⵉ,تيغري,tiɣri
Lightness,tafssi,Tarifit,ⵜⴰⴼⵙⵙⵉ,تافسسي,tafssi
Cough,usu,Tarifit,ⵓⵙⵓ,وسو,usu
Cough,tusut,Tarifit,ⵜⵓⵙⵓⵜ,توسوت,tusut
Game,tirart,Tarifit,ⵜⵉⵔⴰⵔⵜ,تيرارت,tirart
Inflation,tufft,Tarifit,ⵜⵓⴼⴼⵜ,توففت,tufft
The drunkard,amskar,Tarifit,ⴰⵎⵙⴽⴰⵔ,امسكار,amskar
The handsome one,aṣbḥan,Tarifit,ⴰⵚⴱⵃⴰⵏ,اصبحان,aṣbḥan
Beginning,bddu,Tarifit,ⴱⴷⴷⵓ,بددو,bddu
Flutter,afrfr,Tarifit,ⴰⴼⵔⴼⵔ,افرفر,afrfr
Hunter,angmar,Tarifit,ⴰⵏⴳⵎⴰⵔ,انڭمار,angmar
Hunter,tangmart,Tarifit,ⵜⴰⵏⴳⵎⴰⵔⵜ,تانڭمارت,tangmart
saurian,mafaman,Tarifit,ⵎⴰⴼⴰⵎⴰⵏ,مافامان,mafaman
Steal,akr,Tarifit,ⴰⴽⵔ,اكر,akr
Thief,amakr,Tarifit,ⴰⵎⴰⴽⵔ,اماكر,amakr
to be rotten,rku,Tarifit,ⵔⴽⵓ,ركو,rku
The rotten one,amrku,Tarifit,ⴰⵎⵔⴽⵓ,امركو,amrku
The dirty one,amrku,Tarifit,ⴰⵎⵔⴽⵓ,امركو,amrku
The first,amzwaru,Tarifit,ⴰⵎⵣⵡⴰⵔⵓ,امزوارو,amzwaru
Tie,qqn,Tarifit,ⵇⵇⵏ,ققن,99n
Butcher,agzzar,Tarifit,ⴰⴳⵣⵣⴰⵔ,اڭززار,agzzar
Ferrer,aḍddad,Tarifit,ⴰⴹⴷⴷⴰⴷ,اضدداد,aḍddad
Fuster,anjjar,Tarifit,ⴰⵏⵊⵊⴰⵔ,انججار,anjjar
Reap,cwwl,Tarifit,ⵛⵡⵡⵍ,شوول,shwwl
Reaper for hire,acwwal,Tarifit,ⴰⵛⵡⵡⴰⵍ,اشووال,ashwwal
Ferrero,arḥḥal,Tarifit,ⴰⵔⵃⵃⴰⵍ,ارححال,arḥḥal
Sweep,frḍ,Tarifit,ⴼⵔⴹ,فرض,frḍ
Large needle,isgni,Tarifit,ⵉⵙⴳⵏⵉ,يسڭني,isgni
Hang,agl,Tarifit,ⴰⴳⵍ,اڭل,agl
Bury,mḍl,Tarifit,ⵎⴹⵍ,مضل,mḍl
Bury,asnsu,Tarifit,ⴰⵙⵏⵙⵓ,اسنسو,asnsu
Poar,agm,Tarifit,ⴰⴳⵎ,اڭم,agm
Fishing,gmr,Tarifit,ⴳⵎⵔ,ڭمر,gmr
Fishing rod,tasgmrt,Tarifit,ⵜⴰⵙⴳⵎⵔⵜ,تاسڭمرت,tasgmrt
Deposit,rs,Tarifit,ⵔⵙ,رس,rs
Landing,rs,Tarifit,ⵔⵙ,رس,rs
Collect,gru,Tarifit,ⴳⵔⵓ,ڭرو,gru
Wash,irid,Tarifit,ⵉⵔⵉⴷ,يريد,irid
This wine is extremely delicious.,Immim bahra unẓiẓ ad.,Tachelhit,ⵉⵎⵎⵉⵎ ⴱⴰⵀⵔⴰ ⵓⵏⵥⵉⵥ ⴰⴷ.,يمميم باهرا ونزّيزّ اد.,immim bahra unẓiẓ ad.
"Before David arrived, Samantha started to set the table.","Lliɣ ta d ur ilkim Dawud, tbda yad Samanta ar tsgiddi ṭṭbla.",Tachelhit,"ⵍⵍⵉⵖ ⵜⴰ ⴷ ⵓⵔ ⵉⵍⴽⵉⵎ ⴷⴰⵡⵓⴷ, ⵜⴱⴷⴰ ⵢⴰⴷ ⵙⴰⵎⴰⵏⵜⴰ ⴰⵔ ⵜⵙⴳⵉⴷⴷⵉ ⵟⵟⴱⵍⴰ.","لليغ تا د ور يلكيم داوود, تبدا ياد سامانتا ار تسڭيددي ططبلا.","lliɣ ta d ur ilkim dawud, tbda yad samanta ar tsgiddi ṭṭbla."
Why don't you call him up?,Maxx ad as ur tɣrt?,Tachelhit,ⵎⴰⵅⵅ ⴰⴷ ⴰⵙ ⵓⵔ ⵜⵖⵔⵜ?,ماخخ اد اس ور تغرت?,ma55 ad as ur tɣrt?
He keeps making the same mistake.,Ar bdda ittals i yan uzggal.,Tachelhit,ⴰⵔ ⴱⴷⴷⴰ ⵉⵜⵜⴰⵍⵙ ⵉ ⵢⴰⵏ ⵓⵣⴳⴳⴰⵍ.,ار بددا يتتالس ي يان وزڭڭال.,ar bdda ittals i yan uzggal.
This question isn't easy.,Ur irxi usqsi ad.,Tachelhit,ⵓⵔ ⵉⵔⵅⵉ ⵓⵙⵇⵙⵉ ⴰⴷ.,ور يرخي وسقسي اد.,ur ir5i us9si ad.
I'm 19.,Dari 19 isggʷasn.,Tachelhit,ⴷⴰⵔⵉ 1ⵇ ⵉⵙⴳⴳʷⴰⵙⵏ.,داري 1ق يسڭڭʷاسن.,dari 19 isggʷasn.
I am eating an apple.,Ar cttaɣ yat tdffuyt.,Tachelhit,ⴰⵔ ⵛⵜⵜⴰⵖ ⵢⴰⵜ ⵜⴷⴼⴼⵓⵢⵜ.,ار شتتاغ يات تدففويت.,ar shttaɣ yat tdffuyt.
I'll give you this money.,Rad ak fkɣ iqariḍn ad.,Tachelhit,ⵔⴰⴷ ⴰⴽ ⴼⴽⵖ ⵉⵇⴰⵔⵉⴹⵏ ⴰⴷ.,راد اك فكغ يقاريضن اد.,rad ak fkɣ i9ariḍn ad.
I've been working all day.,Xdmɣ ariḍ.,Tachelhit,ⵅⴷⵎⵖ ⴰⵔⵉⴹ.,خدمغ اريض.,5dmɣ ariḍ.
I've been working all day.,Xdmɣ mad ila wass.,Tachelhit,ⵅⴷⵎⵖ ⵎⴰⴷ ⵉⵍⴰ ⵡⴰⵙⵙ.,خدمغ ماد يلا واسس.,5dmɣ mad ila wass.
We went to Gifu.,Ndda s Gifu.,Tachelhit,ⵏⴷⴷⴰ ⵙ ⴳⵉⴼⵓ.,نددا س ڭيفو.,ndda s gifu.
She told him to study.,Tnna as ad iddu ad yaqqra.,Tachelhit,ⵜⵏⵏⴰ ⴰⵙ ⴰⴷ ⵉⴷⴷⵓ ⴰⴷ ⵢⴰⵇⵇⵔⴰ.,تننا اس اد يددو اد ياققرا.,tnna as ad iddu ad ya99ra.
He took me to the park yesterday.,Yiwi iyi s lpark iḍgam.,Tachelhit,ⵢⵉⵡⵉ ⵉⵢⵉ ⵙ ⵍⵒⴰⵔⴽ ⵉⴹⴳⴰⵎ.,ييوي ييي س لبارك يضڭام.,yiwi iyi s lpark iḍgam.
I want to be a doctor or a nurse or a teacher.,Riɣ ad gɣ aḍbib nɣ d afrmli nɣ d aslmad.,Tachelhit,ⵔⵉⵖ ⴰⴷ ⴳⵖ ⴰⴹⴱⵉⴱ ⵏⵖ ⴷ ⴰⴼⵔⵎⵍⵉ ⵏⵖ ⴷ ⴰⵙⵍⵎⴰⴷ.,ريغ اد ڭغ اضبيب نغ د افرملي نغ د اسلماد.,riɣ ad gɣ aḍbib nɣ d afrmli nɣ d aslmad.
You must not smoke in this building.,Iqqan d ad ur tkmmit ɣ tuṣka ad.,Tachelhit,ⵉⵇⵇⴰⵏ ⴷ ⴰⴷ ⵓⵔ ⵜⴽⵎⵎⵉⵜ ⵖ ⵜⵓⵚⴽⴰ ⴰⴷ.,يققان د اد ور تكمميت غ توصكا اد.,i99an d ad ur tkmmit ɣ tuṣka ad.
It's him.,d ntta,Tachelhit,ⴷ ⵏⵜⵜⴰ,د نتتا,d ntta
His name is Tufiq.,"ntta, qqarn-as Tufiq",Tachelhit,"ⵏⵜⵜⴰ, ⵇⵇⴰⵔⵏ-ⴰⵙ ⵜⵓⴼⵉⵇ","نتتا, ققارن-اس توفيق","ntta, 99arn-as tufi9"
Excel Fundamentals,ⵜⵉⵔⵙⴰⵍ ⵏ ⵉⴽⵙⵉⵍ,Tachelhit,ⵜⵉⵔⵙⴰⵍ ⵏ ⵉⴽⵙⵉⵍ,تيرسال ن يكسيل,tirsal n iksil
Microsoft Excel,ⵎⵉⴽⵕⵓⵚⵓⴼⵜ ⵉⴽⵙⵉⵍ,Tachelhit,ⵎⵉⴽⵕⵓⵚⵓⴼⵜ ⵉⴽⵙⵉⵍ,ميكرّوصوفت يكسيل,mikṛuṣuft iksil
Understanding Workbooks,ⴰⵔⵎⴰⵙ ⵏ ⵉⴷ ⵡⵓⵔⴽⴱⵓⴽ,Tachelhit,ⴰⵔⵎⴰⵙ ⵏ ⵉⴷ ⵡⵓⵔⴽⴱⵓⴽ,ارماس ن يد ووركبوك,armas n id wurkbuk
Contents,ⵜⴰⵙⴽⵜⵓⵔⵜ,Tachelhit,ⵜⴰⵙⴽⵜⵓⵔⵜ,تاسكتورت,taskturt
Navigating in a File,ⴰⵙⵜⴰⵔⴰ ⴳ ⴽⵔⴰ ⵏ ⵓⴼⴰⵢⵍⵓ,Tachelhit,ⴰⵙⵜⴰⵔⴰ ⴳ ⴽⵔⴰ ⵏ ⵓⴼⴰⵢⵍⵓ,استارا ڭ كرا ن وفايلو,astara g kra n ufaylu
Typing Text or Numbers Into A Worksheet,ⵜⵉⵔⵔⴰ ⵏ ⵓⴹⵕⵉⵚ ⵏⵉⵖ ⵉⵎⴹⴰⵏⵏ ⴳ ⴽⵔⴰ ⵏ ⵡⵓⵔⴽⵛⵉⵜ,Tachelhit,ⵜⵉⵔⵔⴰ ⵏ ⵓⴹⵕⵉⵚ ⵏⵉⵖ ⵉⵎⴹⴰⵏⵏ ⴳ ⴽⵔⴰ ⵏ ⵡⵓⵔⴽⵛⵉⵜ,تيررا ن وضرّيص نيغ يمضانن ڭ كرا ن ووركشيت,tirra n uḍṛiṣ niɣ imḍann g kra n wurkshit
Typing Simple Formulas In A Worksheet,ⵜⵉⵔⵔⴰ ⵏ ⵜⵏⴼⴰⵍⵉⵢⵉⵏ ⵜⵉⴼⵔⴰⵔⵉⵏ ⴳ ⴽⵔⴰ ⵏ ⵡⵓⵔⴽⵛⵉⵜ,Tachelhit,ⵜⵉⵔⵔⴰ ⵏ ⵜⵏⴼⴰⵍⵉⵢⵉⵏ ⵜⵉⴼⵔⴰⵔⵉⵏ ⴳ ⴽⵔⴰ ⵏ ⵡⵓⵔⴽⵛⵉⵜ,تيررا ن تنفالييين تيفرارين ڭ كرا ن ووركشيت,tirra n tnfaliyin tifrarin g kra n wurkshit
Filling A Series,ⴰⴽⵜⵓⵔ ⵏ ⵉⵙⴷⴷⵉⵜⵏ,Tachelhit,ⴰⴽⵜⵓⵔ ⵏ ⵉⵙⴷⴷⵉⵜⵏ,اكتور ن يسدديتن,aktur n isdditn
Inserting And Deleting Worksheets,ⴰⵙⴽⵛⵎ ⴷ ⵜⵓⴽⴽⵙⴰ ⵏ ⵉⴷ ⵡⵓⵔⴽⵛⵉⵜ,Tachelhit,ⴰⵙⴽⵛⵎ ⴷ ⵜⵓⴽⴽⵙⴰ ⵏ ⵉⴷ ⵡⵓⵔⴽⵛⵉⵜ,اسكشم د توككسا ن يد ووركشيت,askshm d tukksa n id wurkshit
Copying A Worksheet,ⴰⵙⵏⵖⵍ ⵏ ⴽⵔⴰ ⵏ ⵡⵓⵔⴽⵛⵉⵜ,Tachelhit,ⴰⵙⵏⵖⵍ ⵏ ⴽⵔⴰ ⵏ ⵡⵓⵔⴽⵛⵉⵜ,اسنغل ن كرا ن ووركشيت,asnɣl n kra n wurkshit
Renaming A Worksheet,ⴰⵍⴰⵙ ⵏ ⵢⵉⵙⵎ ⵉ ⴽⵔⴰ ⵏ ⵡⵓⵔⴽⵛⵉⵜ,Tachelhit,ⴰⵍⴰⵙ ⵏ ⵢⵉⵙⵎ ⵉ ⴽⵔⴰ ⵏ ⵡⵓⵔⴽⵛⵉⵜ,الاس ن ييسم ي كرا ن ووركشيت,alas n yism i kra n wurkshit
Moving or Copying A Sheet To Another Workbook,ⴰⵙⵉⵜⵜⵉ ⵏⵉⵖ ⴰⵙⵏⵖⵍ ⵏ ⴽⵔⴰ ⵏ ⵜⴼⵔⵜ ⵖⵔ ⵡⵓⵔⴽⴱⵓⴽ ⵢⴰⴹⵏ,Tachelhit,ⴰⵙⵉⵜⵜⵉ ⵏⵉⵖ ⴰⵙⵏⵖⵍ ⵏ ⴽⵔⴰ ⵏ ⵜⴼⵔⵜ ⵖⵔ ⵡⵓⵔⴽⴱⵓⴽ ⵢⴰⴹⵏ,اسيتتي نيغ اسنغل ن كرا ن تفرت غر ووركبوك ياضن,asitti niɣ asnɣl n kra n tfrt ɣr wurkbuk yaḍn
Freezing Rows And Columns,ⴰⵙⴳⵔⵙ ⵏ ⵡⴰⴷⵓⵔⵏ ⴷ ⵜⴰⵏⵏⴰⵍⵉⵏ,Tachelhit,ⴰⵙⴳⵔⵙ ⵏ ⵡⴰⴷⵓⵔⵏ ⴷ ⵜⴰⵏⵏⴰⵍⵉⵏ,اسڭرس ن وادورن د تاننالين,asgrs n wadurn d tannalin
Selecting Columns,ⴰⵙⵜⴰⵢ ⵏ ⵜⴰⵏⵏⴰⵍⵉⵏ,Tachelhit,ⴰⵙⵜⴰⵢ ⵏ ⵜⴰⵏⵏⴰⵍⵉⵏ,استاي ن تاننالين,astay n tannalin
Selecting Rows,ⴰⵙⵜⴰⵢ ⵏ ⵡⴰⴷⵓⵔⵏ,Tachelhit,ⴰⵙⵜⴰⵢ ⵏ ⵡⴰⴷⵓⵔⵏ,استاي ن وادورن,astay n wadurn
Understanding Formatting,ⴰⵔⵎⴰⵙ ⵏ ⵓⵙⵉⵍⵖ,Tachelhit,ⴰⵔⵎⴰⵙ ⵏ ⵓⵙⵉⵍⵖ,ارماس ن وسيلغ,armas n usilɣ
Changing Fonts,ⴰⵙⵏⴼⵍ ⵏ ⵜⵙⵉⵙⴽⵍⵉⵏ,Tachelhit,ⴰⵙⵏⴼⵍ ⵏ ⵜⵙⵉⵙⴽⵍⵉⵏ,اسنفل ن تسيسكلين,asnfl n tsisklin
Applying General Formatting,ⴰⵙⵏⴰⵙ ⵏ ⵓⵙⵉⵍⵖ ⴰⵎⴰⵜⴰⵢ,Tachelhit,ⴰⵙⵏⴰⵙ ⵏ ⵓⵙⵉⵍⵖ ⴰⵎⴰⵜⴰⵢ,اسناس ن وسيلغ اماتاي,asnas n usilɣ amatay
Changing Font Size,ⴰⵙⵏⴼⵍ ⵏ ⵜⵉⴷⴷⵉ ⵏ ⵜⵙⵉⵙⴽⵍⵜ,Tachelhit,ⴰⵙⵏⴼⵍ ⵏ ⵜⵉⴷⴷⵉ ⵏ ⵜⵙⵉⵙⴽⵍⵜ,اسنفل ن تيددي ن تسيسكلت,asnfl n tiddi n tsisklt
Applying A Border To A Range,ⴰⵙⵏⴰⵙ ⵏ ⵓⴱⴰⴷⵓ ⵉ ⴽⵔⴰ ⵏ ⵜⴳⵔⵓⵎⵎⴰ,Tachelhit,ⴰⵙⵏⴰⵙ ⵏ ⵓⴱⴰⴷⵓ ⵉ ⴽⵔⴰ ⵏ ⵜⴳⵔⵓⵎⵎⴰ,اسناس ن وبادو ي كرا ن تڭرومما,asnas n ubadu i kra n tgrumma
Understanding Borders,ⴰⵔⵎⴰⵙ ⵏ ⵉⴱⵓⴷⴰ,Tachelhit,ⴰⵔⵎⴰⵙ ⵏ ⵉⴱⵓⴷⴰ,ارماس ن يبودا,armas n ibuda
Wrapping And Merging Text,ⴰⵙⵏⵓⴹⵓ ⴷ ⵓⵣⴷⴰⵢ ⵏ ⵓⴹⵕⵉⵚ,Tachelhit,ⴰⵙⵏⵓⴹⵓ ⴷ ⵓⵣⴷⴰⵢ ⵏ ⵓⴹⵕⵉⵚ,اسنوضو د وزداي ن وضرّيص,asnuḍu d uzday n uḍṛiṣ
Understanding Functions,ⴰⵔⵎⴰⵙ ⵏ ⵜⵙⵖⴰⵏ,Tachelhit,ⴰⵔⵎⴰⵙ ⵏ ⵜⵙⵖⴰⵏ,ارماس ن تسغان,armas n tsɣan
Using The SUM Function To Add,ⴰⵙⵙⵎⵔⵙ ⵏ ⵜⵙⵖⵏⵜ SUM ⵉ ⵓⵔⵏⵏⵓ,Tachelhit,ⴰⵙⵙⵎⵔⵙ ⵏ ⵜⵙⵖⵏⵜ SUM ⵉ ⵓⵔⵏⵏⵓ,اسسمرس ن تسغنت SUM ي ورننو,assmrs n tsɣnt sum i urnnu
Calculating An Average,ⴰⵙⵙⵉⴹⵏ ⵏ ⴽⵔⴰ ⵏ ⵓⵏⴰⵎⵎⴰⵙ,Tachelhit,ⴰⵙⵙⵉⴹⵏ ⵏ ⴽⵔⴰ ⵏ ⵓⵏⴰⵎⵎⴰⵙ,اسسيضن ن كرا ن ونامماس,assiḍn n kra n unammas
Finding A Minimum Value,ⴰⴼ ⴽⵔⴰ ⵏ ⵡⴰⵣⴰⵍ ⴰⵏⴰⴷⴷⴰⵡ,Tachelhit,ⴰⴼ ⴽⵔⴰ ⵏ ⵡⴰⵣⴰⵍ ⴰⵏⴰⴷⴷⴰⵡ,اف كرا ن وازال انادداو,af kra n wazal anaddaw
Common Error Messages,ⵜⵓⵣⵉⵏⵉⵏ ⵏ ⵉⵣⴳⴰⵍⵏ ⵏⵢⵓⴷⴷⴰⵏⵉⵏ,Tachelhit,ⵜⵓⵣⵉⵏⵉⵏ ⵏ ⵉⵣⴳⴰⵍⵏ ⵏⵢⵓⴷⴷⴰⵏⵉⵏ,توزينين ن يزڭالن نيوددانين,tuzinin n izgaln nyuddanin
Understanding Quick Analysis,ⴰⵔⵎⴰⵙ ⵏ ⵓⵙⴼⵙⵉ ⴰⴼⵙⵙⴰⵙ,Tachelhit,ⴰⵔⵎⴰⵙ ⵏ ⵓⵙⴼⵙⵉ ⴰⴼⵙⵙⴰⵙ,ارماس ن وسفسي افسساس,armas n usfsi afssas
Quick Formatting,ⴰⵙⵉⵍⵖ ⴰⴼⵙⵙⴰⵙ,Tachelhit,ⴰⵙⵉⵍⵖ ⴰⴼⵙⵙⴰⵙ,اسيلغ افسساس,asilɣ afssas
