source_string,target_string,latin,arabic_script,english
ⵉⵏⵏⵓⵎ ⵜⵓⵇⵇⵢⴰ ⵏ ⵜⵎⵟⵟⵓⵟⵜ ⵏⵏⵙ ⴷⴳ ⵢⵉⵟ,اعتاد مضاجعة زوجته بالليل.,innum tuqqya n tmṭṭuṭt nns dg yiṭ,يننوم توققيا ن تمططوطت ننس دڭ ييط,He used to have intimate relations with his wife at night.
ⵉⵏⵏⵓⵎ ⵜⴰⵇⵇⵉⵜ ⵏ ⵜⵎⵟⵟⵓⵟⵜ ⵏⵏⵙ ⴷⴳ ⵢⵉⵟ,اعتاد مضاجعة زوجته بالليل.,innum taqqit n tmṭṭuṭt nns dg yiṭ,يننوم تاققيت ن تمططوطت ننس دڭ ييط,He used to be intimate with his wife at night.
ⵜⵓⵔⴰⵔⵜ ⴰ ⵏ ⵍⵡⴰⵛⵓⵏ ⵉⵎⵥⵥⵢⴰⵏⵏ,هذا لعب الأطفال الصغار.,turart a n lwashun imẓẓyann,تورارت ا ن لواشون يمزّزّيانن,This is for little children's play.
ⵉⵎⴰⵜⵜⴰⵔⵏ ⴰ ⵇⴱⴰⵍⵏ ⵖⵉⵔ ⵜⵓⵜⵜⵔⴰ ⵢⵉⵟ ⴷ ⵡⴰⵙⵙ,هؤلاء المتسولون اعتادوا الاستجداء ليلا ونهارا.,imattarn a qbaln ghir tuttra yiṭ d wass,يماتتارن ا قبالن غير توتترا ييط د واسس,These beggars are accustomed to begging day and night.
ⴷⵉ ⵍⵅⵔⵉⴼ ⵜⵜⴱⴰⵏ ⵜⵡⵔⵖ ⴷⴳ ⵡⴰⴼⵔⵉⵡⵏ ⵏ ⵜⵛⵊⵓⵔⵉⵏ,في فصل الخريف يظهر الاصفرار في أوراق الأشجار.,di lkhrif ttban twrgh dg wafriwn n tshjurin,دي لخريف تتبان تورغ دڭ وافريون ن تشجورين,"In the autumn season, yellowing appears in the leaves of the trees."
ⵜⴱⴰⵏ ⵜⵡⵙⵔ ⴷⵉ ⵜⴼⵔⴰⵙ ⵏ ⵡⵓⴷⵎ ⵏⵏⵛ,بانت الشيخوخة في ملامح وجهك.,tban twsr di tfras n wudm nnsh,تبان توسر دي تفراس ن وودم ننش,The signs of aging have appeared on your face.
ⵜⵣⴷⴳ ⵏ ⵡⵓⵍ ⵏⵏⵙ ⵜⴱⴰⵏ ⵅ ⵡⵓⴷⵎ ⵏⵏⵙ,صفاء قلبه باد على وجهه.,tzdg n wul nns tban kh wudm nns,تزدڭ ن وول ننس تبان خ وودم ننس,The purity of his heart is evident on his face.
ⵜⴼⵍⵃ ⵜⵣⵖⵍ ⴷⵉ ⵜⵊⵔⵙⵜ,الدفء جميل في فصل الشتاء.,tflḥ tzghl di tjrst,تفلح تزغل دي تجرست,Warmth is beautiful in the winter season.
ⴰⴳⴳⵍ ⵏⵏⵙ ⵢⵓⵊⵔ ⴰⴳⴳⵍ ⵉⵏⵓ,ثروته تتجاوز ثروتي.,aggl nns yujr aggl inu,اڭڭل ننس يوجر اڭڭل ينو,His wealth exceeds mine.
ⵉⴷⵡⵍ ⴷⴰⴳ-ⵙ ⴱⵣⵣⴰⴼ ⵏ ⵟⵟⵎⵄ,صار كثير الطمع.,idwl dag-s bzzaf n ṭṭm3,يدول داڭ-س بززاف ن ططمع,He became very greedy.
ⵉⵟⵟⵚ ⵣⵉⵛ,نام باكرا.,iṭṭṣ zish,يططص زيش,He slept early.
ⵉⵟⵟⵚ ⵓⵃⵔⵔⵓⴷ ⴷⴳ ⵢⵉⵙⵉ ⵏ ⵢⵎⵎⴰ-ⵙ,نام الطفل في حضن أمه.,iṭṭṣ uḥrrud dg yisi n ymma-s,يططص وحررود دڭ ييسي ن يمما-س,The child slept in his mother's lap.
ⵉⵡⵡⵢ ⵉ ⵡⵊⵔⵊⵓⴱ,جرفه التيار.,iwwy i wjrjub,يووي ي وجرجوب,The current swept him away.
ⵜⵟⵟⵓⵇⵇⵙ ⵍⴱⵓⵟⴰ,انفجرت قنينة الغاز.,tṭṭuqqs lbuṭa,تططوققس لبوطا,The gas cylinder exploded.
ⵟⵟⵓⵇⵇⵙⵏ ⵡⴰⴷⵊⴰⵊⵏ ⴷⴳ ⵓⵊⵏⵏⴰ,دوى الرعد في السماء.,ṭṭuqqsn wadjajn dg ujnna,ططوققسن وادجاجن دڭ وجننا,The thunder echoed in the sky.
ⵜⴹⴹⵓⵇⵇⵙ ⵍⴱⵓⵟⴰ,انفجرت قنينة الغاز.,tḍḍuqqs lbuṭa,تضضوققس لبوطا,The gas cylinder exploded.
ⴹⴹⵓⵇⵇⵙⵏ ⵡⴰⴷⵊⴰⵊⵏ ⴷⴳ ⵓⵊⵏⵏⴰ,دوى الرعد في السماء.,ḍḍuqqsn wadjajn dg ujnna,ضضوققسن وادجاجن دڭ وجننا,The thunder echoed in the sky.
ⵜⵙⵙⵓⴼⵖ ⵓⴷⵉ ⵣⴳ ⵓⵖⵉ,أخرجت السمن من اللبن.,tssufgh udi zg ughi,تسسوفغ ودي زڭ وغي,I extracted the ghee from the milk.
ⵏⵜⵜⵛⴰ ⵢⴰⵖⵕⵓⵎ ⴷ ⵡⵓⴷⵉ,أكلنا الخبز مع السمن.,nttsha yaghṛum d wudi,نتتشا ياغروم د وودي,We ate bread with ghee.
ⵓⴼⵏ ⴷⵉ ⵜⵎⴷⴰ,غرقوا في البركة.,ufn di tmda,وفن دي تمدا,Translation Error
ⵉⵜⵜⵓⴼ ⵅ ⵉⵎⴷⴷⵓⴽⴽⵯⴰⵍ ⵏⵏⵙ,يتكبر على أصدقائه.,ittuf kh imddukkⵯal nns,يتتوف خ يمددوككⵯال ننس,He acts arrogantly toward his friends.
ⵉⵡⵡⵢ ⵉ ⵡⵊⵔⵊⵉⴱ,جرفه التيار.,iwwy i wjrjib,يووي ي وجرجيب,The current swept him away.
ⵉⵙⵖ ⴷ ⵉⵊⵔⵜⴰⵍ ⴷ ⵉⴷⵊⴷⵉⴷⵏ,اشترى حصائر جديدة.,isgh d ijrtal d idjdidn,يسغ د يجرتال د يدجديدن,He bought new mats.
ⴰⵊⵔⵜⵉⵍ ⵏ ⵡⴰⵔⵉ,حصيرة الحلفاء.,ajrtil n wari,اجرتيل ن واري,The mat made of esparto grass.
ⵉⵡⵊⴷ ⴰⵙ ⵖⵔ ⵜⵡⵡⵓⵔⵜ,تربص به عند الباب.,iwjd as ghr twwurt,يوجد اس غر تووورت,He ambushed him at the door.
ⵡⵊⴷⵖ ⵉ ⵍⵀⴹⵔⵜ,استعددت للكلام.,wjdgh i lhḍrt,وجدغ ي لهضرت,I prepared to speak.
ⵜⵜⵡⵔⵉⵖⵏ ⵡⴰⴼⵔⵉⵡⵏ ⵏ ⵢⵉⵙⴽⵍⴰ ⴷⵉ ⵍⵅⵔⵉⴼ,تصفر أوراق الأشجار في فصل الخريف.,ttwrighn wafriwn n yiskla di lkhrif,تتوريغن وافريون ن ييسكلا دي لخريف,The leaves of the trees turn yellow in the fall.
ⵕⴰⵃⵖ ⵖⵔ ⵓⵟⴱⵉⴱ ⵉⵡⵜ ⵉⵢⵉ ⵜⴰⵅⵉⵢⵢⴰⵟⵜ,زرت الطبيب فحقنني بحقنة.,ṛaḥgh ghr uṭbib iwt iyi takhiyyaṭt,راحغ غر وطبيب يوت ييي تاخييياطت,"I visited the doctor, and he gave me an injection."
ⵉⵜⵜⵛⴰⵜ ⴰⵍⵍⵓⵏ ⴰⵎ ⵡⵏⵏ ⵏ ⵜⵙⴷⵏⴰⵏ,يعزف على الدف كعزف النساء.,ittshat allun am wnn n tsdnan,يتتشات اللون ام ونن ن تسدنان,He plays the tambourine like women do.
ⵕⴰⵃⵖ ⵖⵔ ⵓⵟⴱⵉⴱ ⵉⴼⵜ ⵉⵢⵉ ⵜⴰⵅⵉⵢⵢⴰⵟⵜ,زرت الطبيب فحقنني بحقنة.,ṛaḥgh ghr uṭbib ift iyi takhiyyaṭt,راحغ غر وطبيب يفت ييي تاخييياطت,"I visited the doctor, and he gave me an injection."
ⵉⵜⵜⵛⴰⵜ ⴰⵍⵍⵓⵏ ⴰⵎ ⵡⵏⵏ ⵏ ⵜⵙⴷⵏⴰⵏ,يعزف على الدف كعزف النساء.,ittshat allun am wnn n tsdnan,يتتشات اللون ام ونن ن تسدنان,He plays the tambourine like women do.
ⵉⵅⵣⵔ ⴷⴰⴳ-ⵙ ⵉⵔⵔ ⴰⵙ ⵙ ⵓⵙⵔⵓⴼ,نظر إليه باحتقار ثم أدار له ظهره.,ikhzr dag-s irr as s usruf,يخزر داڭ-س يرر اس س وسروف,"He looked at him with contempt, then turned his back on him."
ⵄⴷⵍ ⴰⴽⴱⴱⵉ ⵏ ⵡⴰⵜⴰⵢ ⴷⵉ ⵍⴽⵉⵙⴰⵏ,أجد إفراغ الشاي في الكؤوس.,3dl akbbi n watay di lkisan,عدل اكببي ن واتاي دي لكيسان,"""I find pouring tea into the cups."""
ⵣⵖⵍⵏ ⵡⴰⵎⴰⵏ,سخن الماء.,zghln waman,زغلن وامان,Heat the water.
ⵍⵍⴰⵏ ⵜⵜⵣⵖⵉⵍⵏ ⵖⵔ ⵛⵛⵉⵎⵉⵍⵉ,يستدفؤون عند المدخنة.,llan ttzghiln ghr shshimili,للان تتزغيلن غر ششيميلي,They warm themselves by the fireplace.
ⵉⵣⵉⵣⵡ ⵓⵣⵍⵍⵉⴼ ⵏⵏⵙ,شاب رأسه.,izizw uzllif nns,يزيزو وزلليف ننس,"""His hair turned gray."""
ⵣⵎⴱⵓ ⴷ ⵜⴰⵎⴻⵎⵜ,"دقيق ""زمبو"" والعسل.",zmbu d tamemt,زمبو د تام°مت,"""Zambo"" flour and honey."
ⵣⵏⴱⵓ ⴷ ⵜⴰⵎⴻⵎⵜ,"دقيق ""زمبو"" والعسل.",znbu d tamemt,زنبو د تام°مت,"""Zambo"" flour and honey."
ⵜⵣⵔⵄ ⴷ ⴰⵡⴰⵍ,ألفت كلاما موزونا.,tzr3 d awal,تزرع د اوال,I composed well-measured words.
ⵉⵣⵔⵄ ⵉⵔⴷⵏ ⴷⴳ ⵢⵉⵢⵢⵔ ⵏⵏⵙ,زرع القمح في حقله.,izr3 irdn dg yiyyr nns,يزرع يردن دڭ يييير ننس,He planted wheat in his field.
ⵉⵣⵣⵔⵢ ⵉ ⵢⴰⵊⵎⵎⴰⵟ,مرره إلى الضفة الأخرى.,izzry i yajmmaṭ,يززري ي ياجمماط,"""Pass it to the other side."""
ⵉⵣⵣⵔⵢ ⵜⴰⵍⵇⵇⵉⵎⵜ,بلع اللقمة.,izzry talqqimt,يززري تالققيمت,He swallowed the bite.
ⵉⵜⵜⵉⵥⵉⴹ ⵢⵉⵟⵚ ⴷⵉ ⵜⵊⵔⵙⵜ,يحلو النوم في فصل الشتاء.,ittiẓiḍ yiṭṣ di tjrst,يتتيزّيض ييطص دي تجرست,Sleeping becomes more enjoyable in the winter season.
ⵉⵥⵡⴰ ⵢⴰⵊⵎⵎⴰⵟ ⵉ ⵡⵙⵓⴼ,عبر إلى الضفة الأخرى من النهر.,iẓwa yajmmaṭ i wsuf,يزّوا ياجمماط ي وسوف,Cross to the other side of the river.
ⵉⵥⵡⴰ ⴱⵕⵕⴰ,هاجر إلى الخارج.,iẓwa bṛṛa,يزّوا بررا,He emigrated abroad.
ⵉⵥⵥⵓ ⵢⴱⴰⵡⵏ ⴷⴳ ⵢⵉⵢⵢⵔ ⵏⵏⵙ,زرع الفول في حقله.,iẓẓu ybawn dg yiyyr nns,يزّزّو يباون دڭ يييير ننس,He planted beans in his field.
ⵥⵥⵓⵖ ⵜⴰⵛⵊⵓⵔⵜ,غرست شجرة.,ẓẓugh tashjurt,زّزّوغ تاشجورت,I planted a tree.
ⵜⵄⴷⵍ ⴰⵎⵏⵙⵉ ⵉ ⵢⵏⵓⵊⵉⵡⵏ,أعدت العشاء للضيوف.,t3dl amnsi i ynujiwn,تعدل امنسي ي ينوجيون,I prepared dinner for the guests.
ⵉⵄⴷⵍ ⵜⵜⵉⵍⵉⴼⵓⵏ ⵏⵏⵙ,أصلح هاتفه.,i3dl ttilifun nns,يعدل تتيليفون ننس,He fixed his phone.
ⵄⵇⵍⵖ ⵅ ⵓⵎⵛⴰⵏ ⴰⴷ,تذكرت ذلك المكان.,3qlgh kh umshan ad,عقلغ خ ومشان اد,I remembered that place.
ⵉⵄⵔⵟ ⵉⵜⵏ ⵖⵔ ⵓⵎⵏⵙⵉ,دعاهم إلى العشاء.,i3rṭ itn ghr umnsi,يعرط يتن غر ومنسي,He invited them to dinner.
ⵉⵄⵔⴹ ⵉⵜⵏ ⵖⵔ ⵓⵎⵏⵙⵉ,دعاهم إلى العشاء.,i3rḍ itn ghr umnsi,يعرض يتن غر ومنسي,He invited them to dinner.
ⵉⵍⵍⴰ ⵢⵜⵜⵄⵄⵓ ⵢⴰⵢⵏⵏ ⵉⵜⵜⵛⴰ ⵖⵔ ⵓⵎⵛⵍⵉ,يتقيأ ما أكله في الغذاء.,illa ytt33u yaynn ittsha ghr umshli,يللا يتتععو ياينن يتتشا غر ومشلي,He is vomiting what he ate for lunch.
ⵜⵊⵔⴰ ⵢⴽⵛⵛⵓⵟⵏ ⴷⵉ ⵜⵖⵔⵖⵔⵜ,رمت الحطب في الموقد.,tjra ykshshuṭn di tghrghrt,تجرا يكششوطن دي تغرغرت,She threw the firewood into the fireplace.
ⵜⵊⵔⴰ ⵢⴽⵛⵛⵓⴹⵏ ⴷⵉ ⵜⵖⵔⵖⵔⵜ,رمت الحطب في الموقد.,tjra ykshshuḍn di tghrghrt,تجرا يكششوضن دي تغرغرت,She threw the firewood into the fireplace.
ⴰⴽⵜⵛⴰ ⵏ ⵜⵎⵓⵔⵜ,دودة الأرض.,aktsha n tmurt,اكتشا ن تمورت,Earthworm.
ⴷⴰⴳ-ⵙ ⵉⴽⵜⵛⴰⵡⵏ ⴷⵉ ⴷⴷⵉⵙⵜ ⵏⵏⵙ,فيه ديدان في بطنه.,dag-s iktshawn di ddist nns,داڭ-س يكتشاون دي دديست ننس,There are worms in his stomach.
ⵉⵜⵜⴱⴱⴰ ⵢⴰⴷ ⵉⵙⵡ ⴰⵍⵍⴰⵖ ⵏ ⵍⵇⵀⵡⴰ,يحب شرب ثفل القهوة.,ittbba yad isw allagh n lqhwa,يتتببا ياد يسو اللاغ ن لقهوا,He likes drinking coffee grounds.
ⵏⵜⵛ ⴰⴷ ⵊⵏⵖ ⵖⵔ ⵡⴰⵍⵍⴰⵖ ⵛⵎⵎ ⴷⵊⴰⵏ ⴰⵊⵏⵏⴰ,أنا سأنام في الأسفل وأنت نامي في الأعلى.,ntsh ad jngh ghr wallagh shmm djan ajnna,نتش اد جنغ غر واللاغ شمم دجان اجننا,"I will sleep downstairs, and you sleep upstairs."
ⴰⵍⵍⴰⵢ ⵏ ⵉⴷⵓⵔⴰⵔ,تسلق الجبال.,allay n idurar,اللاي ن يدورار,Mountain climbing.
ⴰⵍⵍⴰⵢ ⵏ ⵜⴼⵓⵛⵜ,شروق الشمس.,allay n tfusht,اللاي ن تفوشت,Sunrise.
ⵉⵜⵜⵛⴰⵜ ⴰⵍⵍⵓⵏ ⴰⵎ ⵡⵏⵏ ⵏ ⵜⵙⴷⵏⴰⵏ,يعزف على الدف كعزف النساء.,ittshat allun am wnn n tsdnan,يتتشات اللون ام ونن ن تسدنان,He plays the tambourine like women do.
ⵉⵥⵥⵓ ⵢⵉⵍⵡⵉⵣⵏ ⴷⵉ ⵜⵎⵓⵔⵜ ⵏⵏⵙ,غرس أشجار اللوز في أرضه.,iẓẓu yilwizn di tmurt nns,يزّزّو ييلويزن دي تمورت ننس,He planted almond trees in his land.
ⵜⵓⵍⵢ ⵜⴼⵓⵛⵜ,أشرقت الشمس.,tuly tfusht,تولي تفوشت,The sun has risen.
ⵢⵓⵍⵢ ⴷ ⵍⵇⴰⵢⴷ,ارتقى إلى منصب القائد.,yuly d lqayd,يولي د لقايد,He was promoted to the position of leader.
ⴰⵎⵖⴰⵔ ⵏ ⵜⵇⴱⵉⵍⵜ,شيخ القبيلة.,amghar n tqbilt,امغار ن تقبيلت,The tribal chief.
ⴰⵔⴳⴰⵣ ⴰ ⴷ ⴰⵎⵀⵉⵢⵢⴼ,هذا الرجل وضيع.,argaz a d amhiyyf,ارڭاز ا د امهيييف,This man is vile.
ⵜⵓⵙⴷ ⵜⵎⵀⵉⵢⵢⴼⵜ ⴰ,جاءت هذه الحقيرة.,tusd tmhiyyft a,توسد تمهيييفت ا,"""This despicable person came."""
ⴰⵃⵔⵔⵓⴷ ⴰ ⴷ ⴰⵎⵀⵍⵓⵛ,هذا الصبي مريض.,aḥrrud a d amhlush,احررود ا د امهلوش,This boy is sick.
ⵎⴰ ⵜⵊⵊⵢ ⵜⵎⵀⵍⵓⵛⵜ ⵏⵏ?,هل شفيت تلك المريضة؟,ma tjjy tmhlusht nn?,ما تججي تمهلوشت نن?,Has that patient recovered?
ⵉⵜⵜⵛⴰ ⵜⴰⵃⵕⵓⵕⵜ ⵜⴰⵎⵃⵃⵉⵕⵕⵓⵜ,أكل الفلفلة الحارة.,ittsha taḥṛuṛt tamḥḥiṛṛut,يتتشا تاحرورت تامححيرروت,He ate the hot pepper.
ⵜⵍⵍⵓⴽⴽ ⴷⴳ ⵓⵎⵉⵍⵓⵙ,داست في الوحل.,tllukk dg umilus,تللوكك دڭ وميلوس,She stepped in the mud.
ⵏⵜⵜⴰ ⴷ ⴰⵎⵊⵊⵓⵟ,هو أقرع.,ntta d amjjuṭ,نتتا د امججوط,He is bald.
ⵉⴷⵡⵍ ⵓⵃⵔⵔⵓⴷ ⴷ ⴰⵎⵊⵊⵓⵟ,صار الولد أصلعا.,idwl uḥrrud d amjjuṭ,يدول وحررود د امججوط,The boy became bald.
ⵏⵜⵜⴰ ⴷ ⴰⵎⵊⵊⵓⴹ,هو أقرع.,ntta d amjjuḍ,نتتا د امججوض,He is bald.
ⵉⴷⵡⵍ ⵓⵃⵔⵔⵓⴷ ⴷ ⴰⵎⵊⵊⵓⴹ,صار الولد أصلعا.,idwl uḥrrud d amjjuḍ,يدول وحررود د امججوض,The boy became bald.
ⵓⵔ ⵉⵜⵜⵛⵉ ⵡⵎⵍⵍⵉⵥ ⴰ ⵣⴳ ⵢⵉⵟⵍⵍⵉ,لم يأكل هذا الجائع من البارحة.,ur ittshi wmlliẓ a zg yiṭlli,ور يتتشي وملليزّ ا زڭ ييطللي,This hungry person has not eaten since yesterday.
ⵖⴰⵔ-ⵙ ⴰⴳⴳⵍ ⵎⴰⵛⴰ ⴷ ⴰⵎⵍⵍⵉⵥ,لديه المال لكنه بخيل.,ghar-s aggl masha d amlliẓ,غار-س اڭڭل ماشا د املليزّ,"He has money, but he is stingy."
ⵉⵜⵜⴳⴳ ⵍⵅⴷⴰⵢⵎ ⵏ ⵢⵉⵎⵍⵇⵇⵟⵏ,يقوم بأفعال اللقطاء.,ittgg lkhdaym n yimlqqṭn,يتتڭڭ لخدايم ن ييملققطن,He behaves like a scoundrel.
ⵉⵜⵜⴳⴳ ⵍⵅⴷⴰⵢⵎ ⵏ ⵢⵉⵎⵍⵇⵇⴹⵏ,يقوم بأفعال اللقطاء.,ittgg lkhdaym n yimlqqḍn,يتتڭڭ لخدايم ن ييملققضن,He behaves like an outcast.
ⴰⵢⵜ ⵓⴹⵡⵡⴰⵕ ⵜⵜⵉⵏⵉⵏ ⴰⵙ ⵛⴽⴽ ⴷ ⴰⵎⵏⵏⵊⵍⵓ,أهل القرية ينادونه بالتائه.,ayt uḍwwaṛ ttinin as shkk d amnnjlu,ايت وضووار تتينين اس شكك د امننجلو,"The villagers call him ""the lost one."""
ⵜⴷⵡⵍ ⵜⵎⵏⵏⵊⵍⵓⵜ ⵖⵔ ⵓⵅⵅⴰⵎ ⵏⵏⵙ,رجعت التائهة إلى منزلها.,tdwl tmnnjlut ghr ukhkham nns,تدول تمننجلوت غر وخخام ننس,The lost one returned to her home.
ⴷ ⵜⴰⵎⵏⵏⵓⵇⵇⴱⵜ ⵏ ⵜⵎⵊⵊⵉⵏ,مثقوبة الأذنين.,d tamnnuqqbt n tmjjin,د تامننوققبت ن تمججين,Pierced ears.
ⵜⵜⵛⵉⵏ ⵉⵏⵓⵊⵉⵡⵏ ⴰⵎⵏⵙⵉ,أكل الضيوف العشاء.,ttshin inujiwn amnsi,تتشين ينوجيون امنسي,The guests ate dinner.
ⴷ ⴰⵎⵇⵇⵔⴰⵏ ⵏ ⵜⵇⴱⵉⵍⵜ,سيد القبيلة.,d amqqran n tqbilt,د امققران ن تقبيلت,The chief of the tribe.
ⵉⵜⵜⵉⵍⵉ ⴷⴳ ⵢⵉⵛⵜ ⵏ ⵜⴰⴷⴷⴰⵔⵜ ⴷ ⵜⴰⵎⵇⵇⵔⴰⵏⵜ,يسكن في منزل رحب.,ittili dg yisht n taddart d tamqqrant,يتتيلي دڭ ييشت ن تاددارت د تامققرانت,He lives in a spacious house.
ⵉⵛⵛ ⴰ ⴷ ⴰⵎⵇⵇⵔⴰⵏ,هذا الجبل مرتفع.,ishsh a d amqqran,يشش ا د امققران,This mountain is high.
ⵉⵟⴰⵕⵏ ⵏⵏⵙ ⴷ ⵉⵎⵔⵉⵢⵢⵃⵏ,أرجله كريهة.,iṭaṛn nns d imriyyḥn,يطارن ننس د يمريييحن,"""His feet are smelly."""
ⴰⴽⵙⵓⵎ ⴰ ⴷ ⴰⵎⵔⵉⵢⵢⵃ,هذا اللحم نتن.,aksum a d amriyyḥ,اكسوم ا د امريييح,This meat is rotten.
ⵉⵜⴻⵜⵜ ⵙ ⵓⵎⵔⵢⴰⵃ,يأكل باليد اليسرى.,itett s umryaḥ,يت°تت س ومرياح,He eats with his left hand.
ⵉⵜⴻⵜⵜ ⵙ ⵓⵣⵔⵢⴰⵃ,يأكل باليد اليسرى.,itett s uzryaḥ,يت°تت س وزرياح,He eats with his left hand.
ⴷ ⴰⵎⵕⵕⵥⵓ ⵏ ⵓⵟⴰⵕ,مكسور الرجل.,d amṛṛẓu n uṭaṛ,د امررزّو ن وطار,The man is injured.
ⵜⵢⴰⵥⵉⵟⵜ ⵜⴰⵎⵕⵕⵥⵓⵜ ⵏ ⵡⴰⴼⵔ,الدجاجة المكسورة الجناح.,tyaẓiṭt tamṛṛẓut n wafr,تيازّيطت تامررزّوت ن وافر,The chicken with the broken wing.
ⵎⴰ ⵜⵓⴼⵉⵜ ⴰⵎⵙⴰⵖ?,هل وجدت المشتري؟,ma tufit amsagh?,ما توفيت امساغ?,Did you find the buyer?
ⵓⵔ ⵅⴰⴼ-ⵙ ⵉⵙⵖⵉ ⵡⵎⵙⴰⵖ ⵛⴰⵢ?,لم يشتر منه المشتري شيئا؟,ur khaf-s isghi wmsagh shay?,ور خاف-س يسغي ومساغ شاي?,"""Didn't the buyer purchase anything from him?"""
ⵣⵔⵢⵏ ⵛⵕⴰ ⵏ ⵢⵉⵎⵙⴱⵔⵉⴷⵏ ⵙⵙⵢⴰ,مر بعض الراجلين من هنا.,zryn shṛa n yimsbridn ssya,زرين شرا ن ييمسبريدن سسيا,Some men passed by here.
ⵉⵙⴰⵍ ⵉⵢⵉ ⵢⵉⴷⵊ ⵏ ⵓⵎⵙⴱⵔⵉⴷ ⵅ ⵓⴱⵔⵉⴷ,سألني أحد المسافرين عن الطريق.,isal iyi yidj n umsbrid kh ubrid,يسال ييي ييدج ن ومسبريد خ وبريد,A traveler asked me about the way.
ⴰⵎⵛⴰⵏ ⵏ ⵢⵎⵎⴰ ⵢⵎⵇⵇⵔ ⴷⴳ ⵡⵓⵍ ⵉⵏⵓ,منزلة أمي عظيمة في قلبي.,amshan n ymma ymqqr dg wul inu,امشان ن يمما يمققر دڭ وول ينو,The status of my mother is great in my heart.
ⵖⴰⵔ-ⵙ ⴰⵎⵛⴰⵏ ⴷ ⴰⵎⵇⵇⵔⴰⵏ ⴷⵉ ⵜⵇⴱⵉⵍⵜ ⵏⵏⵙ,لديه شأن عظيم في قبيلته.,ghar-s amshan d amqqran di tqbilt nns,غار-س امشان د امققران دي تقبيلت ننس,He has great status in his tribe.
ⵜⵡⴰⵔⴰⵏ ⵉ ⵡⵎⵟⵟⴰⵍ ⵏⵏⵙ ⵣⵉⵛ,تم دفنه باكرا.,twaran i wmṭṭal nns zish,تواران ي ومططال ننس زيش,He was buried early.
ⵡⴰⵍⴰⵢⵏⵏⵉ ⴷ ⴰⵎⵟⵟⵓⵟ,يا لها من امرأة مسترجلة.,walaynni d amṭṭuṭ,والاينني د امططوط,What a tomboyish woman.
ⵏⵜⵜⴰⵜ ⴰⵎ ⵓⵎⵟⵟⵓⵟ,هي كالمرأة المتشبهة بالرجل.,nttat am umṭṭuṭ,نتتات ام ومططوط,She is like a woman imitating a man.
ⴰⴷ ⵏⵢⵢ ⵢⵉⴷⵊ ⵓⵎⵓⵏⵉ ⵊⴰⵔ ⴰⵏⵖ,سنعقد اجتماعا بيننا.,ad nyy yidj umuni jar angh,اد نيي ييدج وموني جار انغ,We will hold a meeting among us.
ⵏⴷⵡⵍ ⴷ ⵢⵉⴷⵊ ⵙ ⵓⵎⵓⵏⵉ ⵢⴰ,أصبحنا واحدا بهذا الاتحاد.,ndwl d yidj s umuni ya,ندول د ييدج س وموني يا,We have become one with this union.
ⵙ ⵓⵎⵓⵜⵜⵍ ⵎⴰ ⵜⵢⵉⵜ ⴰⵢⵏⵏ,ستحل عليك اللعنة إذا قمت بذلك.,s umuttl ma tyit aynn,س وموتتل ما تييت اينن,The curse will be upon you if you do that.
ⵉⵙⵖⴰ ⵢⵎⵅⵍⵍⴷⵏ ⵣⵣⵉ ⵙⵙⵓⵇ,اشترى الخراف من السوق.,isgha ymkhlldn zzi ssuq,يسغا يمخللدن ززي سسوق,He bought the sheep from the market.
ⵉⵎⵢⵢⵍ ⵢⵉⴷⵊ ⵓⵎⵢⵢⵍ ⴷ ⴰⴱⵕⵕⴰⵏ ⵅ ⵓⴱⵔⵉⴷ,انحرف انحرافا سيئا عن الطريق.,imyyl yidj umyyl d abṛṛan kh ubrid,يمييل ييدج ومييل د ابرران خ وبريد,He veered dangerously off the road.
ⵏⵜⵜⴰ ⵣⴳ ⵉⵎⵣⴷⴰⵖ ⵉⵇⴷⵉⵎⵏ,هو من المستوطنين القدامى.,ntta zg imzdagh iqdimn,نتتا زڭ يمزداغ يقديمن,He is one of the early settlers.
ⴰⵙⴳⴳⵯⴰⵙ ⴰ ⵢⴰⴷ ⵢⵉⵍⵉ ⵡⵏⴱⴷⵓ ⵢⵃⵎⴰ,هذه السنة سيكون الصيف ساخنا.,asggⵯas a yad yili wnbdu yḥma,اسڭڭⵯاس ا ياد ييلي ونبدو يحما,"This year, the summer will be hot."
ⵉⵜⵜⴳⴳ ⴰⵏⴷⴰⵀ ⵉⴱⵓⵊⴰⴷⵉⵢⵏ,يسوق سياقة المبتدئين.,ittgg andah ibujadiyn,يتتڭڭ انداه يبوجاديين,He drives like a beginner.
ⴽⴽⵙ ⴰⵏⵖⴱⵓⵕ ⵅ ⵜⵏⵟⵓⵃⵜ ⵏⵏⵛ,أزل الغبار على جبهتك.,kks anghbuṛ kh tnṭuḥt nnsh,ككس انغبور خ تنطوحت ننش,Wipe the dust off your forehead.
ⴽⴽⵙ ⴰⴱⵏⵖⵓⵕ ⵅ ⵜⵏⵟⵓⵃⵜ ⵏⵏⵛ,أزل الغبار على جبهتك.,kks abnghuṛ kh tnṭuḥt nnsh,ككس ابنغور خ تنطوحت ننش,Wipe the dust off your forehead.
