English_Sentence,Tamazight_Sentence,Dialect,Tamazight_Tifinagh,Tamazight_Arabic,Tamazight_Latin
"Africa and Europe are two great continents, but there must be respect for humans.","ⴰⴼⵔⵉⵇⵢⴰ ⴷ ⵓⵔⵓⵒⴰ ⵙⵏⴰⵜ ⵜⵉⵎⵏⵥⴰⵡⵉⵏ ⵜⵉⵅⴰⵜⴰⵔⵉⵏ ⴰⵢⴷ ⴳⴰⵏⵜ, ⵎⴰⵛⴰ ⵉⵇⵇⴰⵏ ⴰⴷ ⵢⵉⵍⵉ ⴷⵉⴽⵙⵏⵜ ⵓⵡⵇⵇⵔ ⵏ ⵉⴼⴳⴰⵏⵏ . ",Central,"ⴰⴼⵔⵉⵇⵢⴰ ⴷ ⵓⵔⵓⵒⴰ ⵙⵏⴰⵜ ⵜⵉⵎⵏⵥⴰⵡⵉⵏ ⵜⵉⵅⴰⵜⴰⵔⵉⵏ ⴰⵢⴷ ⴳⴰⵏⵜ, ⵎⴰⵛⴰ ⵉⵇⵇⴰⵏ ⴰⴷ ⵢⵉⵍⵉ ⴷⵉⴽⵙⵏⵜ ⵓⵡⵇⵇⵔ ⵏ ⵉⴼⴳⴰⵏⵏ . ","افريقيا د وروبا سنات تيمنزّاوين تيخاتارين ايد ڭانت, ماشا يققان اد ييلي ديكسنت ووققر ن يفڭانن . ","afri9ya d urupa snat timnẓawin ti5atarin ayd gant, masha i99an ad yili diksnt uw99r n ifgann . "
"In the framework of the cycle ""Criteria for the territorialization of Interculturality"".",ⴳ ⵓⴽⴰⴹⵔ ⵏ ⵓⵙⵏⵜⵉ “ⵉⵙⴼⵔⵉⵏⵏ ⵏ ⵓⵙⵎⴰⵜⴰ ⴰⵎⵓⵔⴰⵏ ⵏ ⵜⴰⵏⴳⵔⴷⵍⵙⴰⵏⵜ” .,Central,ⴳ ⵓⴽⴰⴹⵔ ⵏ ⵓⵙⵏⵜⵉ “ⵉⵙⴼⵔⵉⵏⵏ ⵏ ⵓⵙⵎⴰⵜⴰ ⴰⵎⵓⵔⴰⵏ ⵏ ⵜⴰⵏⴳⵔⴷⵍⵙⴰⵏⵜ” .,ڭ وكاضر ن وسنتي “يسفرينن ن وسماتا اموران ن تانڭردلسانت” .,g ukaḍr n usnti “isfrinn n usmata amuran n tangrdlsant” .
It was proposed to publish and circulate a set of key ideas to carry out intercultural projects. ,ⵉⵜⵜⵓⵙⵙⵓⵎⵔ ⴰⴷ ⵜⴻⵜⵜⵓⵥⵥⵔⴳ ⴷ ⵜⴻⵜⵜⵓⵙⵏⵢⵓⴷⴷⵓ ⵢⴰⵜ ⵜⴳⵔⵓⵎⵎⴰ ⵏ ⵜⵡⵏⴳⵉⵎⵉⵏ ⵉⴳⴰⵏ ⵜⴰⵙⴰⵔⵓⵜ ⵏ ⵜⴳⵎⵉ ⵏ ⵉⵙⵏⵜⵉⵜⵏ ⵏⴳⵔⵉⴷⵍⵙⴰⵏⵏ .,Central,ⵉⵜⵜⵓⵙⵙⵓⵎⵔ ⴰⴷ ⵜⴻⵜⵜⵓⵥⵥⵔⴳ ⴷ ⵜⴻⵜⵜⵓⵙⵏⵢⵓⴷⴷⵓ ⵢⴰⵜ ⵜⴳⵔⵓⵎⵎⴰ ⵏ ⵜⵡⵏⴳⵉⵎⵉⵏ ⵉⴳⴰⵏ ⵜⴰⵙⴰⵔⵓⵜ ⵏ ⵜⴳⵎⵉ ⵏ ⵉⵙⵏⵜⵉⵜⵏ ⵏⴳⵔⵉⴷⵍⵙⴰⵏⵏ .,يتتوسسومر اد ت ْتتوزّزّرڭ د ت ْتتوسنيوددو يات تڭرومما ن تونڭيمين يڭان تاساروت ن تڭمي ن يسنتيتن نڭريدلسانن .,ittussumr ad tettuẓẓrg d tettusnyuddu yat tgrumma n twngimin igan tasarut n tgmi n isntitn ngridlsann .
This proposal of “Criteria for the territorialization of Interculturality” arose from the discussions and reflections shared during the “Cycle of criteria for the territorialization of Interculturality” 2020.,ⵜⴰⵙⵓⵎⵔⵜ-ⴰⴷ ⵏ “ⵉⵙⴼⵔⵉⵏⵏ ⵏ ⵓⵙⵎⴰⵜⴰ ⴰⵎⵓⵔⴰⵏ ⵏ ⵜⴰⵏⴳⵔⴷⵍⵙⴰⵏⵜ” ⵜⵍⵓⵍⴰ-ⴷ ⵙⴳ ⵉⵎⴹⴰⴽⴰⵕⵏ ⴷ ⵉⵙⵡⵉⵏⴳⵉⵎⵏ ⵜⵜⵓⵛⵛⴰⵔⵏⵉⵏ ⴳ “ⵉⵎⵉⵔ ⵏ ⵉⵙⴱⴷⴰⴷⵏ ⵏ ⵓⵙⵎⴰⵜⴰ ⴰⵎⵓⵔⴰⵏ ⵏ ⵜⴰⵏⴳⵔⴷⵍⵙⴰⵏⵜ 2020” .,Central,ⵜⴰⵙⵓⵎⵔⵜ-ⴰⴷ ⵏ “ⵉⵙⴼⵔⵉⵏⵏ ⵏ ⵓⵙⵎⴰⵜⴰ ⴰⵎⵓⵔⴰⵏ ⵏ ⵜⴰⵏⴳⵔⴷⵍⵙⴰⵏⵜ” ⵜⵍⵓⵍⴰ-ⴷ ⵙⴳ ⵉⵎⴹⴰⴽⴰⵕⵏ ⴷ ⵉⵙⵡⵉⵏⴳⵉⵎⵏ ⵜⵜⵓⵛⵛⴰⵔⵏⵉⵏ ⴳ “ⵉⵎⵉⵔ ⵏ ⵉⵙⴱⴷⴰⴷⵏ ⵏ ⵓⵙⵎⴰⵜⴰ ⴰⵎⵓⵔⴰⵏ ⵏ ⵜⴰⵏⴳⵔⴷⵍⵙⴰⵏⵜ 2020” .,تاسومرت-اد ن “يسفرينن ن وسماتا اموران ن تانڭردلسانت” تلولا-د سڭ يمضاكارّن د يسوينڭيمن تتوششارنين ڭ “يمير ن يسبدادن ن وسماتا اموران ن تانڭردلسانت 2020” .,tasumrt-ad n “isfrinn n usmata amuran n tangrdlsant” tlula-d sg imḍakaṛn d iswingimn ttushsharnin g “imir n isbdadn n usmata amuran n tangrdlsant 2020” .
A cycle of workshops with agents and entities from the dynamization and territory group of the network.,ⵢⴰⵏ ⵉⵎⵉⵔ ⵏ ⵜⵙⴰⵡⵔⵉⵏ ⵉⵜⵜⵓⴳⴰⵏ ⴰⴽⴷ ⵉⵎⴳⴳⴰⵢⵏ ⴷ ⵜⵎⴰⴷⴷⴰⵢⵉⵏ ⵏ ⵜⵔⴱⵉⵄⵜ ⵏ ⵓⵙⵀⵔⵔⵓ ⴰⵎⵓⵔⴰⵏ ⵏ ⵜⵔⴰⵜⵙⴰ .,Central,ⵢⴰⵏ ⵉⵎⵉⵔ ⵏ ⵜⵙⴰⵡⵔⵉⵏ ⵉⵜⵜⵓⴳⴰⵏ ⴰⴽⴷ ⵉⵎⴳⴳⴰⵢⵏ ⴷ ⵜⵎⴰⴷⴷⴰⵢⵉⵏ ⵏ ⵜⵔⴱⵉⵄⵜ ⵏ ⵓⵙⵀⵔⵔⵓ ⴰⵎⵓⵔⴰⵏ ⵏ ⵜⵔⴰⵜⵙⴰ .,يان يمير ن تساورين يتتوڭان اكد يمڭڭاين د تماددايين ن تربيعت ن وسهررو اموران ن تراتسا .,yan imir n tsawrin ittugan akd imggayn d tmaddayin n trbiɛt n ushrru amuran n tratsa .
"which took place from March 25, 2020 to December 11, 2020",ⵏⵏⴰ ⵉⵜⵜⵓⵙⵙⴽⵔⵏ ⵙⴳ 25 ⴳ ⵎⴰⵔⵙ ⴰⵔ 11 ⴳ ⴷⵓⵊⴰⵏⴱⵉⵔ ⵏ 2020 .,Central,ⵏⵏⴰ ⵉⵜⵜⵓⵙⵙⴽⵔⵏ ⵙⴳ 25 ⴳ ⵎⴰⵔⵙ ⴰⵔ 11 ⴳ ⴷⵓⵊⴰⵏⴱⵉⵔ ⵏ 2020 .,ننا يتتوسسكرن سڭ 25 ڭ مارس ار 11 ڭ دوجانبير ن 2020 .,nna ittusskrn sg 25 g mars ar 11 g dujanbir n 2020 .
"In this way, the cycle “Criteria for the territorialization of Interculturality” tried to summarize the experiences, questions and methodological proposals that arise in the fieldwork of the agents and technicians of the neighborhood.","ⵉⵎⵛⵉ, ⵢⵓⵔⵎ ⵉⵎⵉⵔ “ⵉⵙⴼⵔⵉⵏⵏ ⵏ ⵓⵙⵎⴰⵜⴰ ⴰⵎⵓⵔⴰⵏ ⵏ ⵜⴰⵏⴳⵔⴷⵍⵙⴰⵏⵜ” ⴰⴷ ⵉⴳ ⵢⴰⵏ ⵓⵙⴳⵣⵍ ⵉ ⵜⵔⵎⵉⵜⵉⵏ, ⵉⵙⵇⵙⵉⵜⵏ ⴷ ⵜⵙⵓⵎⴰⵔ ⵜⵉⵖⴰⵔⴰⵙⵉⵢⵉⵏ ⵏⵏⴰ ⴷⵉ-ⴼⴼⵖⵏ ⴳ ⵜⵡⵓⵔⵉ ⵏ ⵉⵎⴳⴳⴰⵢⵏ ⴷ ⵉⵜⵉⵇⵏⵉⵢⵏ ⵏ ⵜⵓⴷⴷⵓⵔⵜ .",Central,"ⵉⵎⵛⵉ, ⵢⵓⵔⵎ ⵉⵎⵉⵔ “ⵉⵙⴼⵔⵉⵏⵏ ⵏ ⵓⵙⵎⴰⵜⴰ ⴰⵎⵓⵔⴰⵏ ⵏ ⵜⴰⵏⴳⵔⴷⵍⵙⴰⵏⵜ” ⴰⴷ ⵉⴳ ⵢⴰⵏ ⵓⵙⴳⵣⵍ ⵉ ⵜⵔⵎⵉⵜⵉⵏ, ⵉⵙⵇⵙⵉⵜⵏ ⴷ ⵜⵙⵓⵎⴰⵔ ⵜⵉⵖⴰⵔⴰⵙⵉⵢⵉⵏ ⵏⵏⴰ ⴷⵉ-ⴼⴼⵖⵏ ⴳ ⵜⵡⵓⵔⵉ ⵏ ⵉⵎⴳⴳⴰⵢⵏ ⴷ ⵉⵜⵉⵇⵏⵉⵢⵏ ⵏ ⵜⵓⴷⴷⵓⵔⵜ .","يمشي, يورم يمير “يسفرينن ن وسماتا اموران ن تانڭردلسانت” اد يڭ يان وسڭزل ي ترميتين, يسقسيتن د تسومار تيغاراسييين ننا دي-ففغن ڭ تووري ن يمڭڭاين د يتيقنيين ن توددورت .","imshi, yurm imir “isfrinn n usmata amuran n tangrdlsant” ad ig yan usgzl i trmitin, is9sitn d tsumar tiɣarasiyin nna di-ffɣn g twuri n imggayn d iti9niyn n tuddurt ."
Associations and organizations that have been working in the field of interculturality in Barcelona.,"ⵜⵉⵎⵙⵎⵓⵏⵉⵏ ⴷ ⵜⵎⴰⴷⴷⴰⵙⵉⵏ ⵉⵅⴷⴷⵎ, ⵣⴳ ⵣⵉⴽ, ⴳ ⵓⴱⴰⵔⴰⵣ ⵏ ⵜⵏⴳⵔⴷⵍⵙⴰⵏⵜ ⴳ ⴱⴰⵔⵙⴰⵍⵓⵏⴰ .",Central,"ⵜⵉⵎⵙⵎⵓⵏⵉⵏ ⴷ ⵜⵎⴰⴷⴷⴰⵙⵉⵏ ⵉⵅⴷⴷⵎ, ⵣⴳ ⵣⵉⴽ, ⴳ ⵓⴱⴰⵔⴰⵣ ⵏ ⵜⵏⴳⵔⴷⵍⵙⴰⵏⵜ ⴳ ⴱⴰⵔⵙⴰⵍⵓⵏⴰ .","تيمسمونين د تمادداسين يخددم, زڭ زيك, ڭ وباراز ن تنڭردلسانت ڭ بارسالونا .","timsmunin d tmaddasin i5ddm, zg zik, g ubaraz n tngrdlsant g barsaluna ."
"Valuing their knowledge, based on identifying current strengths and limitations.","ⴰⵔ ⴰⵙ-ⵜⴻⵜⵜⵓⴳⴰ ⵜⵉⵣⵉ ⵉ ⵜⵓⵙⵙⵏⴰ-ⵏⵙⵏ, ⵙ ⵉⵙⵙⵉⴽⵣ ⵏ ⵜⴷⵓⵙⵉⵡⵉⵏ ⴷ ⵉⵙⵡⵓⵜⵜⴰ ⵏ ⴷⵖⵉ .",Central,"ⴰⵔ ⴰⵙ-ⵜⴻⵜⵜⵓⴳⴰ ⵜⵉⵣⵉ ⵉ ⵜⵓⵙⵙⵏⴰ-ⵏⵙⵏ, ⵙ ⵉⵙⵙⵉⴽⵣ ⵏ ⵜⴷⵓⵙⵉⵡⵉⵏ ⴷ ⵉⵙⵡⵓⵜⵜⴰ ⵏ ⴷⵖⵉ .","ار اس-ت ْتتوڭا تيزي ي توسسنا-نسن, س يسسيكز ن تدوسيوين د يسووتتا ن دغي .","ar as-tettuga tizi i tussna-nsn, s issikz n tdusiwin d iswutta n dɣi ."
I love you,da km-ttiriɣ,Central,ⴷⴰ ⴽⵎ-ⵜⵜⵉⵔⵉⵖ,دا كم-تتيريغ,da km-ttiriɣ
There will be no peace if the wars are not stopped.,ⵓⵔ ⵜⵉⵍⵍⵉ ⵙⵙⵍⴰⵜ ⵖⴰⵙ ⵎⴽ ⴱⴷⴷⴰⵏ ⵉⵎⵏⵖⴰⵏ .,Central,ⵓⵔ ⵜⵉⵍⵍⵉ ⵙⵙⵍⴰⵜ ⵖⴰⵙ ⵎⴽ ⴱⴷⴷⴰⵏ ⵉⵎⵏⵖⴰⵏ .,ور تيللي سسلات غاس مك بددان يمنغان .,ur tilli sslat ɣas mk bddan imnɣan .
"""There is no way to Peace, Peace is the way"". Mahatma Gandhi","""ⵓⵔ ⵉⵍⵍⵉ ⵓⴱⵔⵉⴷ ⵙ ⵙⵙⵍⴰⵎⵜ, ⵙⵙⵍⴰⵎⵜ ⴰⵢⴷ ⵉⴳⴰⵏ ⴰⴱⵔⵉⴷ"" . ⵎⴰⵀⴰⵜⵎⴰ ⵖⴰⵏⴷⵉ",Central,"""ⵓⵔ ⵉⵍⵍⵉ ⵓⴱⵔⵉⴷ ⵙ ⵙⵙⵍⴰⵎⵜ, ⵙⵙⵍⴰⵎⵜ ⴰⵢⴷ ⵉⴳⴰⵏ ⴰⴱⵔⵉⴷ"" . ⵎⴰⵀⴰⵜⵎⴰ ⵖⴰⵏⴷⵉ","""ور يللي وبريد س سسلامت, سسلامت ايد يڭان ابريد"" . ماهاتما غاندي","""ur illi ubrid s sslamt, sslamt ayd igan abrid"" . mahatma ɣandi"
No to war!,ⵓⵀⵓ ⵉ ⵉⵎⵏⵖⵉ !,Central,ⵓⵀⵓ ⵉ ⵉⵎⵏⵖⵉ !,وهو ي يمنغي !,uhu i imnɣi !
It is men who make wars.,ⵉⴼⴳⴰⵏⵏ ⴰⵢⴷ ⴷⴰ ⵉⵙⵙⴽⴰⵔⵏ ⵉⵎⵏⵖⴰⵏ .,Central,ⵉⴼⴳⴰⵏⵏ ⴰⵢⴷ ⴷⴰ ⵉⵙⵙⴽⴰⵔⵏ ⵉⵎⵏⵖⴰⵏ .,يفڭانن ايد دا يسسكارن يمنغان .,ifgann ayd da isskarn imnɣan .
"Throughout history there have been wars between groups, tribes, states and peoples...","ⵙⴳ ⵣⵉⴽ ⴰⵢⴷ ⵍⵍⴰⵏ ⵉⵎⵏⵖⴰⵏ ⴳⵔ ⵜⵉⵔⵓⴱⴱⴰ, ⵜⵉⵇⴱⵉⵍⵉⵏ,  ⵉⵡⴰⵏⴽⵏ ⴷ ⵉⵖⵔⴼⴰⵏ ...",Central,"ⵙⴳ ⵣⵉⴽ ⴰⵢⴷ ⵍⵍⴰⵏ ⵉⵎⵏⵖⴰⵏ ⴳⵔ ⵜⵉⵔⵓⴱⴱⴰ, ⵜⵉⵇⴱⵉⵍⵉⵏ,  ⵉⵡⴰⵏⴽⵏ ⴷ ⵉⵖⵔⴼⴰⵏ ...","سڭ زيك ايد للان يمنغان ڭر تيروببا, تيقبيلين,  يوانكن د يغرفان ...","sg zik ayd llan imnɣan gr tirubba, ti9bilin,  iwankn d iɣrfan ..."
There are many peoples in the world who do not have their own State.,ⵍⵍⴰⵏ ⴽⵉⴳⴰⵏ ⵏ ⵉⵖⵔⴼⴰⵏ ⴳ ⴷⴷⵓⵏⵉⵜ ⵏⵏⴰ ⵖⵓⵔ ⵓⵔ ⵉⵍⵍⵢ ⵓⵡⴰⵏⴽ-ⵏⵏⵙⵏ . ,Central,ⵍⵍⴰⵏ ⴽⵉⴳⴰⵏ ⵏ ⵉⵖⵔⴼⴰⵏ ⴳ ⴷⴷⵓⵏⵉⵜ ⵏⵏⴰ ⵖⵓⵔ ⵓⵔ ⵉⵍⵍⵢ ⵓⵡⴰⵏⴽ-ⵏⵏⵙⵏ . ,للان كيڭان ن يغرفان ڭ ددونيت ننا غور ور يللي ووانك-ننسن . ,llan kigan n iɣrfan g ddunit nna ɣur ur illy uwank-nnsn . 
Do you know any peoples without a State?,ⵉⵙ ⵜⵙⵙⵏⵎ ⴽⵔⴰ ⵏ ⵉⵖⵔⴼⴰⵏ ⵉⴷ ⵡⴰⵔ ⴰⵡⴰⵏⴽ ?,Central,ⵉⵙ ⵜⵙⵙⵏⵎ ⴽⵔⴰ ⵏ ⵉⵖⵔⴼⴰⵏ ⵉⴷ ⵡⴰⵔ ⴰⵡⴰⵏⴽ ?,يس تسسنم كرا ن يغرفان يد وار اوانك ?,is tssnm kra n iɣrfan id war awank ?
I know more than five.,ⵙⵙⵏⵖ ⴷⵉⴳⵙⵏ ⵓⴳⴰⵔ ⵏ ⵙⵎⵎⵓⵙ .,Central,ⵙⵙⵏⵖ ⴷⵉⴳⵙⵏ ⵓⴳⴰⵔ ⵏ ⵙⵎⵎⵓⵙ .,سسنغ ديڭسن وڭار ن سمموس .,ssnɣ digsn ugar n smmus .
Her house is very modern.,Tigmmi nns tga nit tatrart.,Tachelhit,ⵜⵉⴳⵎⵎⵉ ⵏⵏⵙ ⵜⴳⴰ ⵏⵉⵜ ⵜⴰⵜⵔⴰⵔⵜ.,تيڭممي ننس تڭا نيت تاترارت.,tigmmi nns tga nit tatrart.
I,ⵏⴽⴽ,Tachelhit,ⵏⴽⴽ,نكك,nkk
you,ⴽⵉⵢ / ⴽⵎⵎⵉ,Tachelhit,ⴽⵉⵢ / ⴽⵎⵎⵉ,كيي / كممي,kiy / kmmi
Welcome to our home.,Brrk ɣ tgmmi nnɣ.,Tachelhit,ⴱⵔⵔⴽ ⵖ ⵜⴳⵎⵎⵉ ⵏⵏⵖ.,بررك غ تڭممي ننغ.,brrk ɣ tgmmi nnɣ.
We'll be home at about 11:00.,Rad nili ɣ tgmmi ɣ wattayn n 11:00.,Tachelhit,ⵔⴰⴷ ⵏⵉⵍⵉ ⵖ ⵜⴳⵎⵎⵉ ⵖ ⵡⴰⵜⵜⴰⵢⵏ ⵏ 11:00.,راد نيلي غ تڭممي غ واتتاين ن 11:00.,rad nili ɣ tgmmi ɣ wattayn n 11:00.
Thank you ,Afak,Tarifit,ⴰⴼⴰⴽ,افاك,afak
Cat,Much,Tarifit,ⵎⵓⵛⵀ,موشه,mushh
"The problem is not that there are many paths, but the problem is when there is no path.","ⵜⵓⴳⵜⵜ ⵏ ⵉⴱⵔⴷⴰⵏ ⵓⵔ ⵜⴳⵉ ⵜⵉⵔⵎⴳⵜ, ⵓⵔ ⵜⵜ-ⵉⴳⵉ ⵖⴰⵙ ⴰⴷⴷⴰⵢ ⵓⵔ ⵉⵍⵍⵉ ⴰⵡⴷ ⵢⴰⵏ ⵓⴱⵔⵉⴷ.",Central,"ⵜⵓⴳⵜⵜ ⵏ ⵉⴱⵔⴷⴰⵏ ⵓⵔ ⵜⴳⵉ ⵜⵉⵔⵎⴳⵜ, ⵓⵔ ⵜⵜ-ⵉⴳⵉ ⵖⴰⵙ ⴰⴷⴷⴰⵢ ⵓⵔ ⵉⵍⵍⵉ ⴰⵡⴷ ⵢⴰⵏ ⵓⴱⵔⵉⴷ.","توڭتت ن يبردان ور تڭي تيرمڭت, ور تت-يڭي غاس ادداي ور يللي اود يان وبريد.","tugtt n ibrdan ur tgi tirmgt, ur tt-igi ɣas adday ur illi awd yan ubrid."
"If you are a lion, the jackals will devour you.","ⵎⵛ ⵓⵔ ⵜⴳⵉⴷ ⵉⵣⵎ, ⴰⴽ-ⵜⵜⵛⵏ ⵡⵓⵛⵛⴰⵏⵏ .",Central,"ⵎⵛ ⵓⵔ ⵜⴳⵉⴷ ⵉⵣⵎ, ⴰⴽ-ⵜⵜⵛⵏ ⵡⵓⵛⵛⴰⵏⵏ .","مش ور تڭيد يزم, اك-تتشن ووششانن .","msh ur tgid izm, ak-ttshn wushshann ."
"If you are not a lion, the jackals will devour you.","ⵎⵛ ⵓⵔ ⵜⴳⵉⴷ ⵉⵣⵎ, ⴰⴽ-ⵜⵜⵛⵏ ⵡⵓⵛⵛⴰⵏⵏ.",Central,"ⵎⵛ ⵓⵔ ⵜⴳⵉⴷ ⵉⵣⵎ, ⴰⴽ-ⵜⵜⵛⵏ ⵡⵓⵛⵛⴰⵏⵏ.","مش ور تڭيد يزم, اك-تتشن ووششانن.","msh ur tgid izm, ak-ttshn wushshann."
Heart,Ur,Tarifit,ⵓⵔ,ور,ur
Mother,Yemma,Tarifit,ⵢⴻⵎⵎⴰ,ي ْمما,yemma
Father,Aba,Tarifit,ⴰⴱⴰ,ابا,aba
Aunt,Khachi,Tarifit,ⴽⵀⴰⵛⵀⵉ,كهاشهي,khashhi
Aunt,"Khachi (germana de la mare), Anti (germana del pare)",Tarifit,"ⴽⵀⴰⵛⵀⵉ (ⴳⴻⵔⵎⴰⵏⴰ ⴷⴻ ⵍⴰ ⵎⴰⵔⴻ), ⴰⵏⵜⵉ (ⴳⴻⵔⵎⴰⵏⴰ ⴷⴻⵍ ⵒⴰⵔⴻ)","كهاشهي (ڭ ْرمانا د ْ لا مار ْ), انتي (ڭ ْرمانا د ْل بار ْ)","khashhi (germana de la mare), anti (germana del pare)"
He gets up at seven.,ⴰⵔ ⴷ ⵉⵏⴽⴽⵔ ⵖ ⵙⵙⴱⵄⴰ.,Tachelhit,ⴰⵔ ⴷ ⵉⵏⴽⴽⵔ ⵖ ⵙⵙⴱⵄⴰ.,ار د ينككر غ سسبعا.,ar d inkkr ɣ ssbɛa.
It's not far from here.,ⵓⵔ ⵢⴰⴳⴳⵓⴳ ⴼ ⵖⵉⴷ.,Tachelhit,ⵓⵔ ⵢⴰⴳⴳⵓⴳ ⴼ ⵖⵉⴷ.,ور ياڭڭوڭ ف غيد.,ur yaggug f ɣid.
We intended to start right away.,ⵏⵓⵎⵎⵍ ⴰⴷ ⵏⴱⴷⵓ ⵖⴰⴽⵓⴷ ⴰⵏⵏ ⵏⵉⵜ,Tachelhit,ⵏⵓⵎⵎⵍ ⴰⴷ ⵏⴱⴷⵓ ⵖⴰⴽⵓⴷ ⴰⵏⵏ ⵏⵉⵜ,نوممل اد نبدو غاكود انن نيت,numml ad nbdu ɣakud ann nit
I'll never do this again.,ⴰⴷ ⵓⵔ ⵙⴰⵔ ⵜⵙⴽⵔⵜ ⵖⴰⵢⴰⴷ ⴷⴰⵖ.,Tachelhit,ⴰⴷ ⵓⵔ ⵙⴰⵔ ⵜⵙⴽⵔⵜ ⵖⴰⵢⴰⴷ ⴷⴰⵖ.,اد ور سار تسكرت غاياد داغ.,ad ur sar tskrt ɣayad daɣ.
He resembles his father very much.,ⵉⵔⵡⴰⵙ ⴱⴰⵀⵔⴰ ⴱⴰⴱⴰⵙ.,Tachelhit,ⵉⵔⵡⴰⵙ ⴱⴰⵀⵔⴰ ⴱⴰⴱⴰⵙ.,يرواس باهرا باباس.,irwas bahra babas.
He resembles his father very much.,ⴰⵔ ⴷ ⴱⴰⵀⵔⴰ ⵉⵜⵜⴰⵡⵉ ⵖ ⴱⴰⴱⴰⵙ.,Tachelhit,ⴰⵔ ⴷ ⴱⴰⵀⵔⴰ ⵉⵜⵜⴰⵡⵉ ⵖ ⴱⴰⴱⴰⵙ.,ار د باهرا يتتاوي غ باباس.,ar d bahra ittawi ɣ babas.
All we do is study.,ⵉⵙ ⴰⵔ ⴽⴰ ⵏⴰⵇⵇⵔⴰ.,Tachelhit,ⵉⵙ ⴰⵔ ⴽⴰ ⵏⴰⵇⵇⵔⴰ.,يس ار كا ناققرا.,is ar ka na99ra.
She burned her left hand.,ⵜⵊⴷⵔ ⴰⴼⵓⵙ ⵏⵏⵙ ⴰⵥⵍⵎⴰⴹ.,Tachelhit,ⵜⵊⴷⵔ ⴰⴼⵓⵙ ⵏⵏⵙ ⴰⵥⵍⵎⴰⴹ.,تجدر افوس ننس ازّلماض.,tjdr afus nns aẓlmaḍ.
His sister looks young.,ⴷⴰ ⵜⵜⴱⴰⵢⴰⵏ ⵓⵍⵜⵎⴰⵙ ⵜⵎⵥⵥⵉⵢ.,Tachelhit,ⴷⴰ ⵜⵜⴱⴰⵢⴰⵏ ⵓⵍⵜⵎⴰⵙ ⵜⵎⵥⵥⵉⵢ.,دا تتبايان ولتماس تمزّزّيي.,da ttbayan ultmas tmẓẓiy.
He is at home today.,ⵜⵉⴳⵎⵎⵉ ⵏⵏⵙ ⴰ ⵖ ⵉⵍⵍⴰ ⴰⵙⵙ ⴰⴷ.,Tachelhit,ⵜⵉⴳⵎⵎⵉ ⵏⵏⵙ ⴰ ⵖ ⵉⵍⵍⴰ ⴰⵙⵙ ⴰⴷ.,تيڭممي ننس ا غ يللا اسس اد.,tigmmi nns a ɣ illa ass ad.
I broke a glass.,ⵕⵥⵉⵖ ⵊⵊⴰⵊ.,Tachelhit,ⵕⵥⵉⵖ ⵊⵊⴰⵊ.,رّزّيغ ججاج.,ṛẓiɣ jjaj.
"Technology is a double-edged tool, those who do not know how to use it will harm themselves.","ⵜⴰⵜⵉⴽⵏⵓⵍⵓⵊⵉⵜ ⵜⴳⴰ ⵢⴰⵏ  ⵉⵎⵉⵙ ⴱⵓ ⵙⵉⵏ ⵡⵓⴱⵓⵢⵏ, ⵓⵏⵏⴰ ⵓⵔ ⵉⵙⵙⵉⵏⵏ ⴰⴷ ⵜ-ⵉⵙⵙⵅⴷⵎ ⴰⴷ ⵜ-ⵉⵀⵍⴽ . ",Central,"ⵜⴰⵜⵉⴽⵏⵓⵍⵓⵊⵉⵜ ⵜⴳⴰ ⵢⴰⵏ  ⵉⵎⵉⵙ ⴱⵓ ⵙⵉⵏ ⵡⵓⴱⵓⵢⵏ, ⵓⵏⵏⴰ ⵓⵔ ⵉⵙⵙⵉⵏⵏ ⴰⴷ ⵜ-ⵉⵙⵙⵅⴷⵎ ⴰⴷ ⵜ-ⵉⵀⵍⴽ . ","تاتيكنولوجيت تڭا يان  يميس بو سين ووبوين, وننا ور يسسينن اد ت-يسسخدم اد ت-يهلك . ","tatiknulujit tga yan  imis bu sin wubuyn, unna ur issinn ad t-iss5dm ad t-ihlk . "
The concept of human development appeared in the nineties.,ⴰⵔⵎⵎⵓⵙ ⵏ ⵜⴳⵎⵉ ⵜⴰⵏⴼⴳⴰⵏⵜ ⵉⴼⴼⵖ-ⴷ ⴳ ⵉⵙⴳⴳⵯⴰⵙⵏ ⵏ ⴽⴽⵓⵥ ⵡⴰⴳⵏⴰⵔⵏ ⴷ ⵎⵔⴰⵡ .,Central,ⴰⵔⵎⵎⵓⵙ ⵏ ⵜⴳⵎⵉ ⵜⴰⵏⴼⴳⴰⵏⵜ ⵉⴼⴼⵖ-ⴷ ⴳ ⵉⵙⴳⴳⵯⴰⵙⵏ ⵏ ⴽⴽⵓⵥ ⵡⴰⴳⵏⴰⵔⵏ ⴷ ⵎⵔⴰⵡ .,ارمموس ن تڭمي تانفڭانت يففغ-د ڭ يسڭڭⵯاسن ن ككوزّ واڭنارن د مراو .,armmus n tgmi tanfgant iffɣ-d g isggⵯasn n kkuẓ wagnarn d mraw .
