English,Tamazight,Tamazight_Latin,Tamazight_Arabic
"Read the sentence carefully - don’t miss, change or add words.","ⵖⵔ ⵜⴰⵡⵉⵏⵙⵜ ⵙ ⵜⵖⴹⴼⵜ - ⴰⴷ ⵓⵔ ⵜⴻⵜⵜⵓⵎ, ⵓⵍⴰ ⵜⵙⵏⴼⵍⵎ ⵓⵍⴰ ⵜⵔⵏⴰⵎ ⵜⵉⴳⵓⵔⵉⵡⵉⵏ.","ghr tawinst s tghḍft - ad ur tettum, ula tsnflm ula trnam tiguriwin.","غر تاوينست س تغضفت - اد ور ت°تتوم, ولا تسنفلم ولا ترنام تيڭوريوين."
"Tatoeba is a large database of sentences, translations, and spoken audio for use in language learning. This download contains spoken English recorded by their community.","ⵜⴳⴰ ⵜⴰⵜⵓⴱⴰ ⵢⴰⵜ ⵜⵙⵉⵍⴰ ⵏ ⵉⵙⴼⴽⴰ ⵜⴰⵎⵇⵇⵔⴰⵏⵜ ⵏ ⵜⵡⵉⵏⴰⵙ, ⵜⵉⵙⵓⵖⵍⵉⵏ, ⴷ ⵉⵎⵙⵍⵉⵜⵏ ⵉⵜⵜⵓⵏⵏⴰⵏ ⵉ ⵓⵙⵙⵎⵔⵙ ⴳ ⵓⵍⵎⵎⵓⴷ ⵏ ⵜⵓⵜⵍⴰⵢⵜ. ⵢⵓⵎⴰ ⵡⴰⴳⴰⵎ ⴰ ⵉⵙⵓⵙⴰⵔ ⵏ ⵜⵏⴳⵍⵉⵣⵜ ⵜⵜⵓⵙⵓⵙⵔⵏ ⵙⴳ ⵖⵓⵔ ⵜⴳⵔⴰⵡⵜ ⵏⵏⵙⵏ.","tga tatuba yat tsila n isfka tamqqrant n twinas, tisughlin, d imslitn ittunnan i ussmrs g ulmmud n tutlayt. yuma wagam a isusar n tnglizt ttususrn sg ghur tgrawt nnsn.","تڭا تاتوبا يات تسيلا ن يسفكا تامققرانت ن تويناس, تيسوغلين, د يمسليتن يتتوننان ي وسسمرس ڭ ولممود ن توتلايت. يوما واڭام ا يسوسار ن تنڭليزت تتوسوسرن سڭ غور تڭراوت ننسن."
Enter your email,ⵙⵙⴽⵛⵎⴰⵜ ⵉⵎⴰⵢⵍ ⵏⵏⵓⵏ,sskshmat imayl nnun,سسكشمات يمايل ننون
License: <licenseLink>{ $license }</licenseLink>,ⵜⵓⵔⴰⴳⵜ: <licenseLink>{ $license }</licenseLink>,turagt: <licenseLink>{ $license }</licenseLink>,توراڭت: <licenseLink>{ $license }</licenseLink>
Contact,ⵎⵢⴰⵡⴰⴹ,myawaḍ,مياواض
Please confirm that these sentences are public domain.,"ⵎⴽ ⵜⵓⴼⵉⴷ, ⵙⵙⴷⴻⴷ ⵎⴰⵙ ⴷ ⵜⵉⵡⵉⵏⴰⵙ ⴰ ⴳⴰⵏⵜ ⴰⴳⵍⴰ ⴰⴳⴷⵓⴷⴰⵏ.","mk tufid, ssded mas d tiwinas a gant agla agdudan.","مك توفيد, سسد°د ماس د تيويناس ا ڭانت اڭلا اڭدودان."
"I am a non-native speaker and I speak with an accent, do you still want my voice?","ⵓⵔ ⵜⴳⵉ ⵜⴰ ⵜⵓⵜⵍⵢⵜ ⵉⵏⵓ ⵜⴰⵢⵎⵎⴰⵜ ⴷ ⵍⴰ ⵙⴰⵡⴰⵍⵖ ⵙ ⵢⴰⵏ ⵓⵙⵓⵙⵔⵓ, ⵉⵙ ⵙⵓⵍ ⵜⵅⵙⵎ ⴰⴳⵕⴹ ⵉⵏⵓ?","ur tgi ta tutlyt inu taymmat d la sawalgh s yan ususru, is sul tkhsm agṛḍ inu?","ور تڭي تا توتليت ينو تايممات د لا ساوالغ س يان وسوسرو, يس سول تخسم اڭرض ينو?"
{ $actionType }<recordIcon></recordIcon> then read the sentence aloud,{ $actionType }<recordIcon></recordIcon> ⵉⵍⵎⵎⴰ ⵖⵔ ⵜⴰⵡⵉⵏⵙⵜ ⵙ ⵓⵥⴰⴳⵓ,{ $actionType }<recordIcon></recordIcon> ilmma ghr tawinst s uẓagu,{ $actionType }<recordIcon></recordIcon> يلمما غر تاوينست س وزّاڭو
$(PRODUCT_NAME),$(PRODUCT_NAME),$(PRODUCT_NAME),$(PRODUCT_NAME)
Thai,ⵜⴰⵟⴰⵢⵍⴰⵏⴷⵉⵜ,taṭaylandit,تاطايلانديت
Try Firefox Send,ⴰⵔⵎ ⴼⴰⵢⵔⴼⵓⴽⵙ ⵙⵉⵏⴷ,arm fayrfuks sind,ارم فايرفوكس سيند
"[Canadian English might make ""route"" sound like ""rowt""]","[ⵙ ⵜⵎⴰⵣⵉⵖⵜ ⵜⴰⵔⵉⴼⵉⵜ ⵏⵖⵉⵢ ⴰⴷ ⵏⵙⵓⵙⵔⵓ ""ⵓⵍⵜⵎⴰ"" ⵣⵓⵏ ⴷ ""ⵓⵜⵛⵎⴰ""]","[s tmazight tarifit nghiy ad nsusru ""ultma"" zun d ""utshma""]","[س تمازيغت تاريفيت نغيي اد نسوسرو ""ولتما"" زون د ""وتشما""]"
Create a { -firefox } Account or sign in,ⵙⵏⴼⵍⵓⵍ ⴰⵎⵉⴹⴰⵏ ⵏ { -firefox } ⵏⵉⵖ ⵜⵣⵎⵎⴻⵎⴷ,snflul amiḍan n { -firefox } nigh tzmmemd,سنفلول اميضان ن { -firefox } نيغ تزمم°مد
Dagbani,ⵜⴰⴷⴰⴳⴱⴰⵏⵉⵜ,tadagbanit,تاداڭبانيت
Romansh Sursilvan,ⵜⴰⵕⵓⵎⴰⵏⵛⵉⵜ ⵜⴰⵙⵓⵔⵙⵉⵍⴼⵉⵜ,taṛumanshit tasursilfit,تارومانشيت تاسورسيلفيت
Make sure the sentence meets the following criteria:,ⵃⵇⵇⴰ ⵎⴰⵙ ⴷ ⵜⵎⵙⴰⵙⴰ ⵜⵡⵉⵏⵙⵜ ⴷ ⵉⵙⴱⴷⴰⴷⵏ ⵓⴹⴼⵉⵕⵏ:,ḥqqa mas d tmsasa twinst d isbdadn uḍfiṛn:,حققا ماس د تمساسا توينست د يسبدادن وضفيرن:
Looks like there aren't any clips to listen to in this language. Help us fill the queue by recording some now.,ⵉⵔⵡⴰⵙ ⵉⵙ ⵓⵔ ⵜⵍⵍⵉ ⵓⵍⴰ ⴽⵔⴰ ⵏ ⵜⵓⵙⵙⵉⴼⵜ ⵎⵉ ⵜⴻⵜⵜⵙⵍⵍⴰⴷ ⵙ ⵜⵓⵜⵍⴰⵢⵜ ⴰ. ⴰⵡⵙ ⴰⵏⵖ ⴰⴷ ⵏⵙⴽⵜⵔ ⴰⴷⵔⴰⵙ ⵙ ⵓⵙⵓⵙⵔ ⵏ ⵢⴰⵏ ⵎⵏⵏⴰⵡⵜ ⴷⵖⵉ.,irwas is ur tlli ula kra n tussift mi tettsllad s tutlayt a. aws angh ad nsktr adras s ususr n yan mnnawt dghi.,يرواس يس ور تللي ولا كرا ن توسسيفت مي ت°تتسللاد س توتلايت ا. اوس انغ اد نسكتر ادراس س وسوسر ن يان منناوت دغي.
for example,ⵙ ⵓⵎⴷⵢⴰ,s umdya,س ومديا
Turkish,ⵜⴰⵜⵓⵔⴽⵉⵜ,taturkit,تاتوركيت
We failed to fetch available languages. Contributions are currently not possible. Please try again later.,"ⵏⵙⴼⵓⴳⴳⵔ ⴳ ⵓⵙⵙⴰⴹⵓ ⵏ ⵜⵓⵜⵍⴰⵢⵉⵏ ⵙⴰⴳⴰⵏⵉⵏ. ⵓⵔ ⴰⵍⵍⴼⵓⵙⵏ ⵡⴰⵔⵔⴰⴳⵏ ⵙ ⵓⵎⵉⵔⴰⵏ. ⵎⴽ ⵜⵓⴼⴰⵎ, ⴰⵔⵎⴰⵜ ⴷⴰⵖ ⴽⵓⴷⵏⵏⴰ.","nsfuggr g ussaḍu n tutlayin saganin. ur allfusn warragn s umiran. mk tufam, armat dagh kudnna.","نسفوڭڭر ڭ وسساضو ن توتلايين ساڭانين. ور اللفوسن وارراڭن س وميران. مك توفام, ارمات داغ كودننا."
I confirm that these sentence are <wikipediaLink>public domain</wikipediaLink> and I have permission to upload them.,ⵍⴰ ⵙⵙⴷⵉⴷⵖ ⵎⴰⵙ ⴷ ⵜⴰⵡⵉⵏⵙⵜ ⴰⴷ ⵜⴳⴰ <wikipediaLink>ⴰⴳⵍⴰ ⴰⴳⴷⵓⴷⴰⵏ</wikipediaLink> ⴷ ⵖⵓⵔⵉ ⵜⵓⵔⴰⴳⵜ ⴰⴷ ⵜⵜ ⵙⴽⵜⵔⵖ.,la ssdidgh mas d tawinst ad tga <wikipediaLink>agla agdudan</wikipediaLink> d ghuri turagt ad tt sktrgh.,لا سسديدغ ماس د تاوينست اد تڭا <wikipediaLink>اڭلا اڭدودان</wikipediaLink> د غوري توراڭت اد تت سكترغ.
Malayalam,ⵜⴰⵎⴰⵍⴰⵢⴰⵍⴰⵎⵉⵜ,tamalayalamit,تامالايالاميت
Upload of this clip keeps failing at server. Reload the page or try again later.,ⴰⵙⴽⵜⵔ ⵏ ⵜⵓⵙⵙⵉⴼⵜ ⴰ ⵉⵇⵇⵉⵎ ⵉⵙⴼⵓⴳⴳⵓⵔ ⴳ ⵓⵎⴰⴽⴽⴰⵢ. ⴰⵍⵙ ⴰⵣⴷⴰⵎ ⵏ ⵜⴰⵙⵏⴰ ⵏⵖ ⴷⴰⵖ ⵜⵓⵔⵎⴷ ⴽⵓⴷⵏⵏⴰ.,asktr n tussift a iqqim isfuggur g umakkay. als azdam n tasna ngh dagh turmd kudnna.,اسكتر ن توسسيفت ا يققيم يسفوڭڭور ڭ وماككاي. الس ازدام ن تاسنا نغ داغ تورمد كودننا.
Why do you need so many different speakers per language?,ⵎⴰⵅ ⴰⵍⵍⵉⴳ ⵜⵓⵙⵔⵎ ⵜⵓⴳⵜⵜ ⵏ ⵉⵎⵙⵉⵡⵍⵏ ⵎⵣⴰⵔⴰⵢⵏⵉⵏ ⵉ ⴽⵓ ⵜⵓⵜⵍⴰⵢⵜ?,makh allig tusrm tugtt n imsiwln mzaraynin i ku tutlayt?,ماخ الليڭ توسرم توڭتت ن يمسيولن مزاراينين ي كو توتلايت?
Go to { $name },ⴷⴷⵓ ⵖⵔ { $name },ddu ghr { $name },ددو غر { $name }
cross-site tracking cookie,ⴰⴽⵓⴽⵉ ⵏ ⵓⵣⴰⵔⵓ ⴰⴳⵔⵙⵉⵜⵡⵉⴱ,akuki n uzaru agrsitwib,اكوكي ن وزارو اڭرسيتويب
Password,ⵜⴰⴳⵓⵔⵉ ⵏ ⵓⵣⵔⴰⵢ,taguri n uzray,تاڭوري ن وزراي
Validations,ⵉⵣⵣⵔⴰⵢⵏ,izzrayn,يززراين
Terms,ⵜⵉⴼⴰⴷⵉⵡⵉⵏ,tifadiwin,تيفاديوين
French,ⵜⴰⴼⵕⴰⵏⵚⵉⵚⵜ,tafṛanṣiṣt,تافرانصيصت
Ewondo,ⵜⵉⵡⵓⵏⴷⵓⵜ,tiwundut,تيووندوت
Italian,ⵜⴰⵟⴰⵍⵢⴰⵏⵉⵜ,taṭalyanit,تاطاليانيت
"Expert linguists can also help, try to reach out to local linguistic universities (both teachers and students) and see if they can help to gather a diverse set of sound-diverse sentences in your language.","ⴰⵡⴷ ⵉⵎⵙⵏⵉⵍⵙⵏ ⵉⵎⵓⵣⴰⵢⵏ ⵣⵎⵔⵏ ⴰⴷ ⴰⵡⵙⵏ, ⴰⵔⵎⴰⵜ ⴰⴷ ⵜⵏⵢⴰⵍⴽⴰⵎⵎ ⴰⴽⴷ ⵜⵙⴷⴰⵡⵉⵢⵉⵏ ⵜⵉⵎⵙⵏⵉⵍⵙⵉⵏ ⵜⵉⴷⵖⵔⴰⵏⵉⵏ ( ⵍⴰ ⵉⵙⵍⵎⴰⴷⵏ ⵓⵍⴰ ⵉⵎⵣⵔⴰⵡⵏ), ⵜⵥⵕⵎ ⵎⴽ ⵣⵎⵔⵏ ⴰⴷ ⴰⵡⵙⵏ ⴳ ⵓⵙⵎⵓⵜⵜⵔ ⵏ ⵢⴰⵜ ⵜⴳⵔⵓⵎⵎⴰ ⵉⵎⵢⴰⵏⴰⵡⵏ ⵏ ⵜⵡⵉⵏⴰⵙ ⵉⴷ ⵎⵎ-ⵉⵎⵙⵍⵉⵜⵏ ⵉⵎⵢⴰⵏⴰⵡⵏ ⵙ ⵜⵓⵜⵍⴰⵢⵜ ⵏⵏⵓⵏ.","awd imsnilsn imuzayn zmrn ad awsn, armat ad tnyalkamm akd tsdawiyin timsnilsin tidghranin ( la islmadn ula imzrawn), tẓṛm mk zmrn ad awsn g usmuttr n yat tgrumma imyanawn n twinas id mm-imslitn imyanawn s tutlayt nnun.","اود يمسنيلسن يموزاين زمرن اد اوسن, ارمات اد تنيالكامم اكد تسداوييين تيمسنيلسين تيدغرانين ( لا يسلمادن ولا يمزراون), تزّرم مك زمرن اد اوسن ڭ وسموتتر ن يات تڭرومما يمياناون ن تويناس يد مم-يمسليتن يمياناون س توتلايت ننون."
"There will be natural variations in volume between readers. Reject only if the volume is so high that the recording breaks up, or (more commonly) if it is so low that you can’t hear what is being said without reference to the written text.","ⵔⴰⴷ ⵉⵍⵉⵏ ⵉⵎⵣⴰⵔⴰⵢⵏ ⵉⴳⴰⵎⴰⵏⵏ ⴳ ⵓⵙⵡⵉⵔ ⵏ ⵢⵉⵎⵙⵍⵉ ⴳⵔ ⵉⵎⵖⵔⵉⵜⵏ. ⴰⴳⵢ ⵖⴰⵙ ⵎⴽ ⴱⴰⵀⵔⴰ ⵢⴰⵜⵜⵓⵢ ⵓⵙⵡⵉⵔ ⵏ ⵢⵉⵎⵙⵍⵉ ⴰⵢⵍⵍⵉⴳ ⵍⴰ ⵉⵜⵜⴱⴱⵢ ⵓⵙⵓⵙⵔ, ⵏⵉⵖ (ⴳ ⵓⵎⴰⵜⴰ ⵏ ⵡⴰⴷⴷⴰⴷⵏ) ⵎⴽ ⴱⴰⵀⵔⴰ ⵉⵣⴷⵔ ⴰⵢⵍⵍⵉⴳ ⵓⵔ ⵜⵣⵎⵉⵔⴷ ⴰⴷ ⵜⵙⵍⵍⴷ ⵉ ⵓⵢⵏⵏⴰ ⵉⵜⵜⵓⵏⵏⴰⵏ ⵎⵉⵏ ⵜⴰⵙⴰⵖⵓⵍⵜ ⵖⵔ ⵓⴹⵕⵉⵚ ⵉⵜⵜⵢⴰⵔⴰⵏ.","rad ilin imzarayn igamann g uswir n yimsli gr imghritn. agy ghas mk bahra yattuy uswir n yimsli ayllig la ittbby ususr, nigh (g umata n waddadn) mk bahra izdr ayllig ur tzmird ad tslld i uynna ittunnan min tasaghult ghr uḍṛiṣ ittyaran.","راد يلين يمزاراين يڭامانن ڭ وسوير ن ييمسلي ڭر يمغريتن. اڭي غاس مك باهرا ياتتوي وسوير ن ييمسلي ايلليڭ لا يتتببي وسوسر, نيغ (ڭ وماتا ن واددادن) مك باهرا يزدر ايلليڭ ور تزميرد اد تسللد ي ويننا يتتوننان مين تاساغولت غر وضريص يتتياران."
"You can also copy and paste the direct URLs into your favorite download manager. They will expire in 12 hours, but you can come back to this page to generate new ones any time.","ⵜⵣⵎⵔⵎ ⴰⴷ ⵜⵙⵙⵏⵖⵍⵎ ⵜⵙⵍⵖⵎ ⴰⵡⴷ ⴰⵏⵙⴰⵜⵏ ⵏ ⵓⵡⵉⴱ ⵓⵙⵔⵉⴷⵏ ⵖⵔ ⵓⵎⵙⵡⵓⴷⴷⵓ ⵏ ⵡⴰⴳⴰⵎⵏ ⴰⵎⵓⴼⴰⵢ ⵏⵏⵓⵏ. ⵔⴰⴷ ⵎⵎⵜⵏ ⴳ 12 ⵏ ⵜⵙⵔⴰⴳⵉⵏ, ⵎⴰⵛⴰ ⵜⵣⵎⵔⵎ ⴰⴷ ⴷ ⵜⵓⵔⵔⵉⵎ ⵖⵔ ⵜⴰⵙⵏⴰ ⴰ ⵃⵎⴰ ⴰⴷ ⵜⴰⵔⵡⵎ ⴰⵏⵙⴰⵜⵏ ⵉⵎⴰⵢⵏⵓⵜⵏ ⵜⵉⵣⵉ ⵏⵏⴰ ⴽⴰ.","tzmrm ad tssnghlm tslghm awd ansatn n uwib usridn ghr umswuddu n wagamn amufay nnun. rad mmtn g 12 n tsragin, masha tzmrm ad d turrim ghr tasna a ḥma ad tarwm ansatn imaynutn tizi nna ka.","تزمرم اد تسسنغلم تسلغم اود انساتن ن وويب وسريدن غر ومسووددو ن واڭامن اموفاي ننون. راد ممتن ڭ 12 ن تسراڭين, ماشا تزمرم اد د تورريم غر تاسنا ا حما اد تاروم انساتن يماينوتن تيزي ننا كا."
Date,ⴰⵙⴰⴽⵓⴷ,asakud,اساكود
"If you run out of sentences to review, please help us collect more sentences!","ⵎⴽ ⴰⵡⵏ ⵙⵎⴰⵔⵏⵜ ⵜⵡⵉⵏⴰⵙ ⵎ'ⴰⴷ ⵜⵙⵙⵉⵔⵉⵎⵎ, ⵎⴽ ⵜⵓⴼⴰⵎ, ⴰⵡⵙⴰⵜ ⴰⵏⵖ ⴰⴷ ⵏⴳⵔⵓ ⵓⴳⴳⴰⵔ ⵏ ⵜⵡⵉⵏⴰⵙ!","mk awn smarnt twinas m'ad tssirimm, mk tufam, awsat angh ad ngru uggar n twinas!","مك اون سمارنت تويناس م'اد تسسيريمم, مك توفام, اوسات انغ اد نڭرو وڭڭار ن تويناس!"
Ready to help validate sentences?,ⵜⵎⵓⵜⵜⴳⴷ ⴰⴷ ⵜⴰⵡⵙⴷ ⴳ ⵓⵣⵣⵔⴰⵢ ⵏ ⵜⵡⵉⵏⴰⵙ?,tmuttgd ad tawsd g uzzray n twinas?,تموتتڭد اد تاوسد ڭ وززراي ن تويناس?
Welcome { $company } staff!,ⴱⵔⵔⴽⴰⵜ ⴰ ⵉⵎⵙⵡⵓⵔⵉⵢⵏ ⵏ { $company }!,brrkat a imswuriyn n { $company }!,برركات ا يمسووريين ن { $company }!
Your weekly goal has been created,ⵉⵏⵏⴼⵍⵓⵍ ⵓⵡⵜⵜⴰⵙ ⴰⵏⵎⵍⴰⵙⵙ ⵏⵏⵓⵏ,innflul uwttas anmlass nnun,يننفلول ووتتاس انملاسس ننون
"If the sentence meets the criteria, click the ""Approve"" button.","ⵎⴽ ⴷ ⵜⵎⵙⴰⵙⴰ ⵜⵡⵉⵏⵙⵜ ⴷ ⵉⵙⴱⴷⴰⴷⵏ, ⴽⵍⵉⴽⵉ ⵅⴼ ⵓⴱⵔⴰ ""ⵙⵙⴳⵍⵢ"".","mk d tmsasa twinst d isbdadn, kliki khf ubra ""ssgly"".","مك د تمساسا توينست د يسبدادن, كليكي خف وبرا ""سسڭلي""."
bookmark,ⵎⵕⵛⵎⵜⴰⵙⵏⴰ,mṛshmtasna,مرشمتاسنا
Email is already used for a different account,ⵉⵜⵜⵓⵙⵎⵔⵙ ⵢⴰⴷ ⵉⵎⴰⵢⵍ ⴰ ⵉ ⵢⴰⵏ ⵓⵎⵉⴹⴰⵏ ⵉⵎⵣⴰⵔⴰⵢⵏ,ittusmrs yad imayl a i yan umiḍan imzarayn,يتتوسمرس ياد يمايل ا ي يان وميضان يمزاراين
Speakable,ⵜⵖⴰⵢ ⴰⴷ ⵜⴻⵜⵜⵓⵏⵏⴰ,tghay ad tettunna,تغاي اد ت°تتوننا
How are project decisions made?,ⵎⴰⵏⵎⴽ ⵙ ⵜⵜⵓⵙⴽⵉⵔⵏⵜ ⵜⵖⵜⴰⵙⵉⵏ ⵏ ⵓⵙⵏⴼⴰⵔ?,manmk s ttuskirnt tghtasin n usnfar?,مانمك س تتوسكيرنت تغتاسين ن وسنفار?
<recordIcon></recordIcon> Last one!,<recordIcon></recordIcon> ⵜⴰⵎⴳⴳⴰⵔⵓⵜ!,<recordIcon></recordIcon> tamggarut!,<recordIcon></recordIcon> تامڭڭاروت!
Delete Profile,ⴽⴽⵙ ⵉⴼⵔⵙ,kks ifrs,ككس يفرس
trackers,ⵉⵎⵣⵣⵓⵔⵜⵏ,imzzurtn,يمززورتن
How do I add sentences?,ⵎⴰⵏⵎⴽ ⵙ ⵔⴰⴷ ⵔⵏⵓⵖ ⵜⵉⵡⵉⵏⴰⵙ?,manmk s rad rnugh tiwinas?,مانمك س راد رنوغ تيويناس?
Latgalian,ⵜⴰⵍⴰⵜⴳⴰⵍⵉⵜ,talatgalit,تالاتڭاليت
Unlock,ⴽⴽⵙ ⴰⵔⴳⴰⵍ,kks argal,ككس ارڭال
Profile: { $username },ⵉⴼⵔⵙ: { $username },ifrs: { $username },يفرس: { $username }
Help us find others to donate their voice!,ⴰⵡⵙ ⴰⵏⵖ ⴰⴷ ⵏⴰⴼ ⵡⵉⵢⵢⴰⴹ ⴰⴷ ⴼⴽⵏ ⵉⴳⵕⴹⴰⵏ ⵏⵏⵙⵏ!,aws angh ad naf wiyyaḍ ad fkn igṛḍan nnsn!,اوس انغ اد ناف وييياض اد فكن يڭرضان ننسن!
<b>You agree</b> to not attempt to determine the identity of speakers in the Common Voice dataset,<b>ⵜⵎⵙⴰⵙⴰⵎ ⴷ</b> ⵅⴼ ⴰⴷ ⵓⵔ ⵜⴰⵔⵎⵎ ⴰⴷ ⵜⵙⵡⵓⵜⵜⵓⵎ ⵜⴰⵎⴰⴳⵉⵜ ⵏ ⵉⵎⵙⵉⵡⵍⵏ ⴳ ⵜⴳⵔⵓⵎⵎⴰ ⵏ ⵉⵙⴼⴽⴰ ⵏ ⴽⴰⵎⵏⴼⵓⵢⵙ,<b>tmsasam d</b> khf ad ur tarmm ad tswuttum tamagit n imsiwln g tgrumma n isfka n kamnfuys,<b>تمساسام د</b> خف اد ور تارمم اد تسووتتوم تاماڭيت ن يمسيولن ڭ تڭرومما ن يسفكا ن كامنفويس
over web content,ⵏⵏⵉⴳ ⵜⵓⵎⴰⵢⵜ ⵏ ⵓⵡⵉⴱ,nnig tumayt n uwib,ننيڭ تومايت ن وويب
Telugu,ⵜⴰⵜⵉⵍⵓⴳⵓⵜ,tatilugut,تاتيلوڭوت
Kazakh,ⵜⴰⴽⴰⵣⴰⵅⵉⵜ,takazakhit,تاكازاخيت
Voice Collection,ⴰⴳⵔⵔⵓ ⵏ ⵉⴳⵕⴹⴰⵏ,agrru n igṛḍan,اڭررو ن يڭرضان
Cookies,ⵉⴽⵓⴽⵉⵜⵏ,ikukitn,يكوكيتن
How can we effectively grow a language on Common Voice?,ⵎⴰⵏⵎⴽ ⵙ ⵏⵣⵎⵔ ⵙ ⵉⵎⵕⵡⵉ ⴰⴷ ⵏⵙⴱⵓⵖⵍⵓ ⴽⵔⴰ ⵏ ⵜⵓⵜⵍⴰⵢⵜ ⴳ ⴽⴰⵎⵏⴼⵓⵢⵙ?,manmk s nzmr s imṛwi ad nsbughlu kra n tutlayt g kamnfuys?,مانمك س نزمر س يمروي اد نسبوغلو كرا ن توتلايت ڭ كامنفويس?
His hand was rais-ed.,ⵉⵙⵖⴰ ⵜⴰⵖⴰⴹ-ⵜ ⴷ ⵜⵢⴰⵥⵉⴹ-ⵜ.,isgha taghaḍ-t d tyaẓiḍ-t.,يسغا تاغاض-ت د تيازّيض-ت.
Login Identity,ⵜⴰⵎⴰⴳⵉⵜ ⵏ ⵓⴽⵛⴰⵎ,tamagit n uksham,تاماڭيت ن وكشام
Gujarati,ⵜⴰⴳⵓⵊⵔⴰⵜⵉⵜ,tagujratit,تاڭوجراتيت
Use correct spelling and punctuation,ⴰⴷ ⵜⵙⵙⵎⵔⵙ ⴰⵙⵏⵎⴰⵔⵔⴰ ⴷ ⵓⵙⵏⵇⴹ ⵓⵖⴷⵏⵉⵏ,ad tssmrs asnmarra d usnqḍ ughdnin,اد تسسمرس اسنماررا د وسنقض وغدنين
Return to Common Voice,ⴰⵖⵓⵍ ⵖⵔ ⴽⴰⵎⵏⴼⵓⵢⵙ,aghul ghr kamnfuys,اغول غر كامنفويس
Easy,ⴰⵍⴰⵎⴰⴹ,alamaḍ,الاماض
Izhorian,ⵜⴰⵢⵊⵓⵔⵉⵜ,tayjurit,تايجوريت
Validating donated clips is equally important to the Common Voice mission. Take a listen and help us create quality open source voice data.,ⴰⵡⴷ ⴰⵣⵣⵔⴰⵢ ⵏ ⵜⵓⵙⵙⵉⴼⵉⵏ ⵜⵜⵓⴼⴽⴰⵏⵉⵏ ⵉⵅⴰⵜⵔ ⵉ ⵜⵙⵎⵉⴳⵍⵜ ⵏ ⴽⴰⵎⵏⴼⵓⵢⵙ. ⵙⵍⵍ ⵜⴰⵡⵙⴷ ⴰⵏⵖ ⴰⴷ ⵏⵙⵏⴼⵍⵓⵍ ⵉⵙⴼⴽⴰ ⵉⴳⵕⴹⴰⵏⵏ ⵏ ⵓⵙⴰⴳⵎ ⵓⵕⵥⵉⵎ ⵙ ⵓⵖⵓⴷⵓ.,awd azzray n tussifin ttufkanin ikhatr i tsmiglt n kamnfuys. sll tawsd angh ad nsnflul isfka igṛḍann n usagm uṛẓim s ughudu.,اود اززراي ن توسسيفين تتوفكانين يخاتر ي تسميڭلت ن كامنفويس. سلل تاوسد انغ اد نسنفلول يسفكا يڭرضانن ن وساڭم ورزّيم س وغودو.
Upload,ⵙⵙⴽⵜⵔ,ssktr,سسكتر
Tatar,ⵜⴰⵟⴰⵟⴰⵕⵉⵜ,taṭaṭaṛit,تاطاطاريت
I agree,ⵎⵙⴰⵙⴰⵖ ⴷ,msasagh d,مساساغ د
<translateVideoLink>Watch our guide on how to use Pontoon.</translateVideoLink>,<translateVideoLink>ⴰⵏⵏⴰⵢ ⴰⵎⴰⵏⴰⵔ ⵏⵏⵖ ⵅⴼ ⵎⴰⵏⵎⴽ ⵔⴰⴷ ⵜⵙⵙⵎⵔⵙⴷ ⴱⵓⵏⵜⵓⵏ.</translateVideoLink>,<translateVideoLink>annay amanar nngh khf manmk rad tssmrsd buntun.</translateVideoLink>,<translateVideoLink>انناي امانار ننغ خف مانمك راد تسسمرسد بونتون.</translateVideoLink>
Past recordings download requests,ⵜⵓⵜⵜⵔⵉⵡⵉⵏ ⵣⵔⵉⵏⵉⵏ ⵏ ⵡⴰⴳⴰⵎ ⵏ ⵉⵙⵓⵙⴰⵔ,tuttriwin zrinin n wagam n isusar,توتتريوين زرينين ن واڭام ن يسوسار
Missing 'A' or 'The' at the beginning of the recording.,ⴰⵅⵚⵚⴰ ⵏ 'ⵢⴰⵏ/ⵢⴰⵜ' ⵏⵉⵖ 'ⴽⵔⴰ ⵏ' ⴳ ⵓⵎⵣⵡⴰⵔⵓ ⵏ ⵓⵙⵓⵙⵔ.,akhṣṣa n 'yan/yat' nigh 'kra n' g umzwaru n ususr.,اخصصا ن 'يان/يات' نيغ 'كرا ن' ڭ ومزوارو ن وسوسر.
Start recording,ⵙⵙⵏⵜⵉ ⴰⵙⵓⵙⵔ,ssnti asusr,سسنتي اسوسر
"Make sure the platform is recording before you start speaking, and that it only stops once you’re finished.","ⵃⵇⵇⴰ ⵉⵙ ⵍⴰ ⵜⵙⵓⵙⵓⵔ ⵜⵙⵉⵍⴰ ⴷⴰⵜ ⴰⴷ ⵜⵙⵙⵏⵜⵉⴷ ⴰⵙⵉⵡⵍ, ⴷ ⵎⴰⵙ ⴷ ⵓⵔ ⵜⴱⵉⴷⴷ ⵖⴰⵙ ⴰⵍⵍⵉⴳ ⵜⵙⵎⴷⴷ.","ḥqqa is la tsusur tsila dat ad tssntid asiwl, d mas d ur tbidd ghas allig tsmdd.","حققا يس لا تسوسور تسيلا دات اد تسسنتيد اسيول, د ماس د ور تبيدد غاس الليڭ تسمدد."
